palabra,word,frase,sentence,palabra_alterna,,
está,no direct translation,El tren está llegando a la estación.,The train is arriving at the station.,,,
está,no direct translation,Mi casa está en el campo.,My house is in the countryside.,,,
está,no direct translation,El edificio está en construcción.,The building is under construction.,,,
está,no direct translation,Está prohibido fumar en esta área.,Smoking is prohibited in this area.,,,
está,no direct translation,El café está caliente y listo para ser servido.,The coffee is hot and ready to be served.,,,
estás,no direct translation,¿Estás listo para empezar?,Are you ready to start?,,,
estás,no direct translation,¿Cómo estás hoy?,How are you today?,,,
estás,no direct translation,Estás preparado para esta aventura?,Are you ready for this adventure?,,,
estás,no direct translation,¿Estás seguro de que quieres hacer eso?,Are you sure you want to do that?,,,
estás,no direct translation,Estás muy guapa hoy.,You look very nice today.,,,
estás,no direct translation,"Hay un empleo disponible con la ciudad, si estás interesado.","There's a job available with the city, if you're interested.",,,
estás,no direct translation,Estás muy preparado para afrontar este desafío.,You are very well prepared to face this challenge.,,,
estás,no direct translation,Al menos dime la clase de trabajo que estás haciendo.,At least tell me the kind of work you're doing.,,,
estás,no direct translation,¿Por qué estás parada en la puerta?,Why are you standing at the door?,,,
estás,no direct translation,Estás haciendo un gran trabajo.,You are doing a great job.,,,
estás,no direct translation,Estás impresionada con tus logros.,You are impressed with your accomplishments.,,,
estás,no direct translation,Estás muy guapo hoy.,You look very handsome today.,,,
están,no direct translation,Los membresías están abiertas para todos aquellos interesados.,Memberships are open to all those interested.,,,
están,no direct translation,Los resultados de esta encuesta están sorprendentes.,The results of this survey are surprising.,,,
están,no direct translation,Los estudiantes están trabajando duramente para prepararse para los exámenes.,The students are working hard to prepare for the exams.,,,
están,no direct translation,Los resultados están ahí para verlos.,The results are there to see.,,,
están,no direct translation,Los platos están preparados para la cena.,The dishes are prepared for dinner.,,,
están,no direct translation,Estas flores están hermosas.,These flowers are beautiful.,,,
están,no direct translation,Los estudiantes están emocionados de regresar a clases.,The students are excited to return to classes.,,,
están,no direct translation,Los colores rojo y amarillo están brillando alegremente.,The colors red and yellow are shining brightly.,,,
están,no direct translation,Los árboles están floreciendo con sus bellas hojas.,The trees are blooming with their beautiful leaves.,,,
están,no direct translation,Estos libros están esparcidos por toda la habitación.,These books are scattered all over the room.,,,
están,no direct translation,Las estaciones de tren están siempre muy concurridas.,The train stations are always very crowded.,,,
están,no direct translation,Los niños están acurrucados en el sofá viendo una película.,The children are snuggled up on the couch watching a movie.,,,
estamos,no direct translation,Estamos comprometidos a trabajar duro para alcanzar nuestros objetivos.,We are committed to working hard to achieve our goals.,,,
estamos,no direct translation,Estamos emocionados de empezar este proyecto juntos.,We are excited to start this project together.,,,
estamos,no direct translation,Estamos comprometidos a hacer todo lo necesario para lograr nuestras metas.,We are committed to doing whatever it takes to achieve our goals.,,,
estamos,no direct translation,Estamos jugando juntos como un equipo.,We are playing together as a team.,,,
estamos,no direct translation,Estamos compartiendo recursos para ayudar a otros.,We are sharing resources to help others.,,,
estamos,no direct translation,Estamos trabajando para mejorar nuestra situación actual.,We are working to improve our current situation.,,,
estamos,no direct translation,Estamos comprometidos a trabajar juntos para alcanzar nuestros objetivos.,We are committed to working together to achieve our goals.,,,
estamos,no direct translation,Nos estamos esforzando para alcanzar nuestras metas.,We are striving to reach our goals.,,,
estamos,no direct translation,Estamos listos para empezar.,We are ready to start.,,,
estamos,no direct translation,Estamos avanzando bien con el nuevo proyecto.,We are making good progress with the new project.,,,
estamos,no direct translation,Estamos trabajando juntos para lograr nuestros objetivos.,We are working together to achieve our goals.,,,
estamos,no direct translation,Estamos listos para empezar.,We are ready to start.,,,
estar,no direct translation,Estoy muy contenta de estar aquí.,I am very happy to be here.,,,
estar,no direct translation,Estoy contenta de estar aquí.,I'm happy to be here.,,,
estar,no direct translation,Estaba muy contento de estar aquí.,I was very happy to be here.,,,
estar,no direct translation,Estoy feliz de estar aquí.,I'm happy to be here.,,,
estar,no direct translation,Estoy muy feliz de estar aquí.,I am very happy to be here.,,,
estar,no direct translation,Estoy feliz de estar aquí.,I am happy to be here.,,,
estar,no direct translation,Estoy aquí para estar a tu lado.,I'm here to be by your side.,,,
estar,no direct translation,Me encanta estar al aire libre.,I love being outdoors.,,,
estar,no direct translation,No quiero estar aquí por más tiempo.,I don't want to be here any longer.,,,
estar,no direct translation,Ella siempre está dispuesta a estar ahí para ayudar.,She is always willing to be there to help.,,,
estar,no direct translation,Estoy contento de estar aquí.,I'm happy to be here.,,,
estar,no direct translation,Estoy estar muy contento por mi logro.,I am very happy for my achievement.,,,
eres,no direct translation, Eres mi mejor amigo.,You are my best friend.,,,
eres,no direct translation,Eres mi mejor amigo.,You are my best friend.,,,
eres,no direct translation,Eres una persona maravillosa.,You are a wonderful person.,,,
eres,no direct translation,Eres la persona más maravillosa que conozco.,You are the most wonderful person I know.,,,
eres,no direct translation,Eres una gran fuente de inspiración para mí.,You are a great source of inspiration for me.,,,
eres,no direct translation,Tú eres una persona muy amable.,You are a very kind person.,,,
eres,no direct translation,Eres muy inteligente y siempre tienes algo interesante que decir.,You are very intelligent and always have something interesting to say.,,,
eres,no direct translation,Tú eres un gran amigo/a para mí.,You are a great friend to me.,,,
eres,no direct translation,Eres un gran líder y todos te siguen con confianza.,You are a great leader and everyone follows you confidently.,,,
eres,no direct translation,Eres muy divertido/a y siempre me haces reír.,You are very fun and always make me laugh.,,,
eres,no direct translation,Tú eres una persona muy trabajadora y siempre te esfuerzas para mejorar.,You are a very hardworking person and always strive to improve.,,,
eres,no direct translation,"Eres una persona muy valiente, siempre te enfrentas a los desafíos con coraje.","You are a very brave person, you always face challenges with courage.",,,
estáis,no direct translation,Estáis haciendo un buen trabajo.,You all are doing a good job.,,,
estáis,no direct translation,Vosotros estáis trabajando muy duro en esta tarea.,You all are working very hard on this task.,,,
estáis,no direct translation,Estáis haciendo un gran trabajo en equipo.,You all are doing a great job as a team.,,,
estáis,no direct translation,Vosotros estáis siguiendo el plan de manera efectiva.,You all are following the plan effectively.,,,
estáis,no direct translation,Estáis logrando resultados impresionantes.,You all are achieving impressive results.,,,
estáis,no direct translation,Vosotros estáis superando todas las expectativas.,You all are exceeding all expectations.,,,
estáis,no direct translation,¿Cómo estáis todos hoy?,How are you all doing today?,,,
estáis,no direct translation,Estáis compartiendo un momento especial.,You are sharing a special moment.,,,
estáis,no direct translation,Estáis cumpliendo con todas las expectativas que teníamos.,You are meeting all the expectations we had.,,,
