palabra,word,frase,sentence,palabra_alterna
día,day,El día que conocí a mi esposo fue un día inolvidable.,The day I met my husband was an unforgettable day.,
día,day,Durante el día trabajo en la oficina.,During the day I work at the office.,
día,day,El día de mi cumpleaños quiero celebrar con mis amigos.,"On my birthday, I want to celebrate with my friends.",
día,day,Los días de verano son más largos.,Summer days are longer.,
día,day,Me gusta levantarme temprano todos los días.,I like to get up early every day.,
tanto,so much,Todavía tengo tanto trabajo para hacer.,I still have so much work to do.,
tanto,both,La agencia quería tanto Laura y Vanessa.,The agency wanted both Laura and Vanessa.,
tanto,both,Este trabajo tanto ordena el mundo como exagera su caos.,This work both orders the world and exaggerates its chaos.,
tanto,both,Esta carta fue enviada tanto por correo certificado y regular.,This letter was sent both by certified and regular mail.,
tanto,no direct translation,"El clima está cambiando rápidamente, por tanto, debemos tomar medidas para proteger el medio ambiente.","The weather is changing rapidly, therefore, we must take measures to protect the environment.",
tanto,no direct translation,"La situación económica es incierta, por tanto, es importante ahorrar dinero para tener un futuro financiero seguro.","The economic situation is uncertain, therefore, it is important to save money for a secure financial future.",
tanto,no direct translation,Tanto éxito tuvo en su carrera que se convirtió en una celebridad.,He was so successful in his career that he became a celebrity.,
tanto,no direct translation,¿Por qué tanto interés en ese libro en particular?,Why so much interest in that book in particular?,
tanto,no direct translation,Ella estudió tanto que finalmente aprobó el examen con calificación sobresaliente.,She studied so hard that she finally passed the exam with a outstanding grade.,
tanto,no direct translation,"No tanto como tú, pero yo también disfruto de la música clásica.","Not as much as you, but I also enjoy classical music.",
tanto,no direct translation,No pude dormir tanto anoche debido a los ruidos de la calle.,I couldn't sleep as much last night due to the street noise.,
tanto,no direct translation,Tanto ella como su hermana son muy talentosas en la danza.,Both she and her sister are very talented in dancing.,
tanto,no direct translation,Él no ganó tanto dinero como esperaba en la subasta.,He didn't make as much money as he expected at the auction.,
ella,her,Comprale algo que a ella le guste.,Buy her something she likes.,
ella,she,Ayer ella dejó dos pares de zapatos bajo la silla.,Yesterday she left two pairs of shoes under the chair.,
ella,her,Mi hermano está listo para arruinar su vida por ella.,My brother is ready to ruin his life for her.,
ella,she,Ella es muy amable y generosa.,She is very kind and generous.,
ella,her,¿Viste a ella en el parque?,Did you see her at the park?,
ella,she,No puedo creer que ella ganó el concurso.,I can't believe she won the contest.,
ella,she,Ella siempre está dispuesta a ayudar a los demás.,She is always willing to help others.,
ella,she,Me encanta cuando ella canta canciones de amor.,I love when she sings love songs.,
ella,she,Ella es una experta en la cocina.,She is an expert in the kitchen.,
ella,she,¿Ella ha llegado ya?,Has she arrived yet?,
ella,her,Su hermoso vestido atrajo toda la atención hacia ella.,Her beautiful dress drew all the attention to her.,
tres,three,Tres es un número primo.,Three is a prime number.,
tres,three,Hay tres personas en mi familia.,There are three people in my family.,
tres,three,Tres por tres es igual a nueve.,Three times three is equal to nine.,
tres,three,Mi dirección tiene tres números.,My address has three numbers.,
tres,three,Me gusta comer tres veces al día.,I like to eat three times a day.,
tres,three,Tres veces al año visito a mis abuelos.,I visit my grandparents three times a year.,
tres,three,Tres de mis amigos están aquí.,Three of my friends are here.,
tres,three,Tres años estudié en la universidad.,I studied at the university for three years.,
tres,three,Tres dígitos son suficientes para mi código postal.,Three digits are enough for my zip code.,
tres,three,La conferencia tiene tres sesiones programadas.,The conference has three sessions scheduled.,
tres,three,Tres colores son suficientes para mi bandera.,Three colors are enough for my flag.,
tres,three,Mi lista de tareas tiene tres ítems prioritarios.,My to-do list has three prioritized items.,
sí,yes,Sí pero primero hay que comer.,Yes but lets eat first.,
sí,no direct translation,Yo sí quiero acompañarles a Disney.,I do want to go with you to Disney World.,
sí,no direct translation,Suele jugar ajedrez con sí mismo.,He usually plays chess against himself.,
sí,no direct translation,Se envió una carta a sí misma.,She sent a letter to herself.,
sí,itself,El hilo se está enredando en sí.,The string is getting tangled up in itself.,
sí,no direct translation,Se mienten a sí mismos.,They are lying to themselves.,
sí,yourself,Solo desea el bien para sí.,You only wish good for yourself.,
sí,yes,El departamento dio el sí a la propuesta.,The department said yes to the proposal.,
sí,yes,La respuesta simple a esto es sí.,The simple answer to this is yes.,
sí,yes,"Sí, lo entiendo.","Yes, I understand.",
sí,yes,"¿Me puedes pasar la sal? Sí, claro.","Can you pass me the salt? Yes, sure.",
sí,yes,Realmente sí quiero ir al cine esta noche.,I really do want to go to the movies tonight.,
dijo,said,Mamá dijo que nos teníamos que acostar.,Mom said we had to go to sleep.,
dijo,said,La miré y me dijo que sí.,I looked at her and she said yes.,
dijo,told,¿Quién te lo dijo?,Who told you?,
dijo,told,Me dijo que no vendría.,He told me that he would not come.,
dijo,called,Me dijo de todo.,He called me all the names under the sun.,
dijo,told,Él dijo la verdad con una conciencia limpia.,He told the truth with a clear conscience.,
dijo,said,Mi jefe dijo que ella no había tocado el dinero.,My boss said that she had not touched the money.,
dijo,told,Hablé con mi jefe y me dijo que tendríamos una reunión importante a las 2 de la tarde.,I spoke to my boss and he told me that we would have an important meeting at 2 in the afternoon.,
dijo,said,Dijo que iba a llover esta tarde.,He said it was going to rain this afternoon.,
dijo,said,Ella explicó su plan y dijo que sería un éxito.,She explained her plan and said it would be a success.,
dijo,said,Él confió en su decisión y dijo que haría lo que fuera necesario para lograrlo.,He trusted in his decision and said he would do whatever was necessary to achieve it.,
sido,been,El álbum ha sido grabado.,The album has been recorded.,
sido,been,DMAA también ha sido prohibido en Australia y Nueva Zelanda.,DMAA has also been banned in Australia and New Zealand.,
sido,been,El problema ha sido resuelto.,The problem has been resolved.,
sido,been,Este modelo ha sido seguido por todo tipo de imperios.,This model has been followed by all kinds of empires.,
sido,been,Ha sido uno de los mejores días de mi vida.,It has been one of the best days of my life.,
sido,been,Ese niño ha sido objeto de burla.,This child has been the object of ridicule.,
sido,been,Ha sido un placer trabajar contigo.,It has been a pleasure working with you.,
sido,been,Ella no ha sido la misma desde que perdió a su esposo.,She hasn't been the same since she lost her husband.,
sido,been,La pandemia ha sido un reto para todos.,The pandemic has been a challenge for everyone.,
sido,been,"No ha sido fácil, pero lo hemos logrado juntos.","It hasn't been easy, but we've achieved it together.",
sido,been,La tecnología ha sido una gran bendición para la humanidad.,Technology has been a great blessing for humanity.,
sido,been,La decisión ha sido tomada y no se puede cambiar.,The decision has been made and can't be changed.,
sido,been,La vida en la ciudad ha sido siempre mi sueño.,Life in the city has always been my dream.,
sido,been,La escuela ha sido el lugar donde he aprendido mucho.,School has been the place where I've learned a lot.,
gran,great,Ir todos juntos en un coche es una gran idea.,Going together in the same car is a great idea.,
gran,large,Santa Elena ofrece una gran cantidad y variedad de gastronomía.,Santa Elena offers a large amount and variety of cuisine.,
gran,large,El objeto está cubierto en un gran número de inscripciones.,The object is covered in a large number of inscriptions.,
gran,large,Esta gran casa para 12 personas tiene una piscina privada.,This large house for 12 people has a private pool.,
gran,large,El apartamento tiene un gran balcón con una hermosa vista.,The apartment has a large balcony with a beautiful view.,
gran,great,Este es un gran día para nosotros.,This is a great day for us.,
gran,great,El resultado es un vino de gran concentración y elegancia.,The result is a wine of great concentration and elegance.,
gran,great,El gran inventor Nikola Tesla era también un pensador visual.,The great inventor Nikola Tesla was also a visual thinker.,
gran,great,Gran parte de la población mundial vive en ciudades.,A large part of the world's population lives in cities.,
gran,great,La gran muralla china es una de las maravillas del mundo.,The Great Wall of China is one of the wonders of the world.,
gran,great,Este año tuvo un gran éxito en el cine.,This year had a great success in the movie theater.,
gran,great,Fue un gran logro para la humanidad.,It was a great achievement for humanity.,
gran,great,Tiene un gran talento para la música.,He has a great talent for music.,
país,country,El país votó no en el referéndum,the country voted no in the referendum,
país,country,La cultura del diálogo es una utopía en nuestro país.,The culture of dialogue is a utopia in our country.,
país,country,Todo es verde en este país de ríos y selvas.,Everything is green in this country of rivers and forests.,
país,country,El país de mi nacimiento es México.,My country of birth is Mexico.,
país,country,Hay muchos hermosos países en Europa.,There are many beautiful countries in Europe.,
país,country,Este país tiene una economía fuerte.,This country has a strong economy.,
país,country,El país está experimentando una recesión.,The country is experiencing a recession.,
país,country,El país está dividido por opiniones políticas.,The country is divided by political opinions.,
país,country,Muchas personas sueñan con viajar a otros países.,Many people dream of traveling to other countries.,
país,country,Los países del mundo se unen para combatir el cambio climático.,The countries of the world join together to combat climate change.,
país,country,La cultura de este país es única.,The culture of this country is unique.,
país,country,La población de este país es mayoritariamente joven.,The population of this country is predominantly young.,
país,country,La naturaleza salvaje es una de las atracciones turísticas más importantes de este país.,The wilderness is one of this country's most important tourist attractions.,
según,just as,Sucedió según dijo.,It happened just as he said.,
según,as,Según llegan los aviones bajan las maletas.,As the planes arrive they unload the baggage.,
según,just as,Todo permanecía según lo recordaba.,Everything was just as she remembered it.,
según,according to,"Según mi investigación, el proyecto debería estar terminado en un mes.","According to my research, the project should be finished in a month.",
según,no direct translation,"La decisión, según se ha anunciado, será tomada en la próxima reunión.","The decision, as announced, will be made at the next meeting.",
según,according to,"Según la leyenda, la ciudad fue fundada por un grupo de aventureros.","According to legend, the city was founded by a group of adventurers.",
según,according to,"La nueva tecnología, según los expertos, revolucionará el mercado.","The new technology, according to the experts, will revolutionize the market.",
según,according to,"La temperatura debe ser de 20 grados Celsius, según el manual de usuario.","The temperature should be 20 degrees Celsius, according to the user manual.",
según,according to,"Según los rumores, habrá una gran sorpresa en la fiesta de esta noche.","According to the rumors, there will be a big surprise at tonight's party.",
según,according to,"La empresa, según sus últimos informes, tiene un buen desempeño en el mercado.","The company, according to its latest reports, has good market performance.",
según,according to,"Según los estudios, la meditación tiene muchos beneficubrimientos saludables.","According to studies, meditation has many healthy discoveries.",
según,according to,"Los invitados llegarán a las 7 pm, según la lista de RSVP.","The guests will arrive at 7 pm, according to the RSVP list.",
según,according to,"El resultado del partido, según los comentaristas, fue sorprendente.","The result of the game, according to the commentators, was surprising.",
menos,less,Tengo menos tiempo libre hoy que ayer.,I have less free time today than yesterday.,
menos,fewer,El profesor tiene menos alumnos en sus clases este semestre.,The teacher has fewer students in his classes this semester.,
menos,the least,La persona que menos agua gaste ganará.,The person who wastes the least amount of water will win.,
menos,the fewest,La ardilla con menos bellotas tiene que ponerse a trabajar.,The squirrel with the fewest acorns needs to get busy.,
menos,below,La temperatura hoy está a menos diez grados.,The temperature today is ten below zero.,
menos,minus,Cinco menos dos son tres.,Five minus two is three.,
menos,to,Son las once menos diez.,It is ten to eleven.,
menos,minus sign,Te faltó escribir el menos en tu ecuación.,You forgot to write the minus sign in your equation.,
menos,less,"El tiempo está más o menos soleado hoy, pero puede llover más tarde.","The weather is more or less sunny today, but it may rain later.",
menos,less,Menos es más en este caso.,Less is more in this case.,
menos,less,"No quiero hablar con él, menos aún ahora.","I don't want to talk to him, even less now.",
menos,less,Me gustaría tener menos trabajo y más tiempo libre.,I would like to have less work and more free time.,
menos,fewer,Es mejor tener menos amigos de confianza que muchos conocidos superficiales.,It's better to have fewer trusted friends than many superficial acquaintances.,
