palabra,word,frase,sentence,palabra_alterna,,
vosotras,you all,Vosotras sois las mejores amigas que alguien podría pedir.,You all are the best friends anyone could ask for. (feminine group),Ustedes,,
vosotras,you all,¿Vosotras queréis ir a la playa o a la montaña este fin de semana?,Do you all want to go to the beach or the mountains this weekend? (feminine group),Ustedes,,
vosotras,you all,"Vosotras habéis trabajado duro en el proyecto, ¡felicidades!","You all have worked hard on the project, congratulations! (feminine group)",Ustedes,,
vosotras,you all,¿Qué planes tenéis vosotras para el verano?,What plans do you all have for the summer? (feminine group),Ustedes,,
vosotras,you all,Vosotras siempre sabéis cómo hacerme reír.,You all always know how to make me laugh. (feminine group),Ustedes,,
ellos,they,Ellos son los dueños de la casa que está al final de la calle.,They are the owners of the house at the end of the street. (masculine or mixed group),,,
ellos,they,Ellos siempre van a la misma cafetería para desayunar.,They always go to the same café for breakfast. (masculine or mixed group),,,
ellos,they,Ellos se conocieron en la universidad y han sido amigos desde entonces.,They met in college and have been friends ever since. (masculine or mixed group),,,
ellos,they,Ellos ganaron el partido de fútbol gracias a un gol en el último minuto.,They won the soccer match thanks to a goal in the last minute. (masculine or mixed group),,,
ellos,they,Ellos quieren viajar por todo Sudamérica antes de establecerse en un lugar definitivo.,They want to travel throughout South America before settling down in a permanent place. (masculine or mixed group),,,
ellas,they,Ellas son las encargadas de organizar la fiesta de cumpleaños.,They are in charge of organizing the birthday party. (feminine group),,,
ellas,they,¿Ellas vienen a la reunión de esta tarde?,Are they coming to the meeting this afternoon? (feminine group),,,
ellas,they,Ellas prefieren salir de noche en lugar de quedarse en casa.,They prefer to go out at night instead of staying at home. (feminine group),,,
ellas,they,Ellas están estudiando para el examen de mañana juntas.,They are studying together for tomorrow's exam. (feminine group),,,
ellas,they,Ellas están planeando un viaje a la playa para el verano.,They are planning a beach trip for the summer. (feminine group),,,
