palabra,word,frase,sentence,palabra_alterna,,
soy,no direct translation,"Yo soy capaz de comunicarme en varios idiomas, incluyendo inglés y español.","I am capable of communicating in multiple languages, including English and Spanish.",,,
soy,no direct translation,Soy una persona honesta y responsable.,I am an honest and responsible person.,,,
soy,no direct translation,Soy la persona que está a cargo de esta tarea.,I am the person in charge of this task.,,,
soy,no direct translation,Soy una persona feliz.,I am a happy person.,,,
soy,no direct translation,Soy una persona creativa.,I am a creative person.,,,
somos,no direct translation,Somos seres humanos creados para vivir juntos en armonía.,We are human beings created to live together in harmony.,,,
somos,no direct translation,Nosotros somos la generación que hará la diferencia.,We are the generation that will make a difference.,,,
somos,no direct translation,Nosotros somos un equipo unido.,We are a united team.,,,
somos,no direct translation,Nosotros somos la mejor solución para este problema.,We are the best solution for this problem.,,,
somos,no direct translation,Somos un grupo de amigos con mucho cariño.,We are a group of friends with a lot of love.,,,
somos,no direct translation,Somos un equipo fuerte y comprometido.,We are a strong and committed team.,,,
somos,no direct translation,Nosotros somos una familia unida.,We are a united family.,,,
somos,no direct translation,Somos una familia unida y feliz.,We are a united and happy family.,,,
somos,no direct translation,Somos una familia y compartimos muchos momentos juntos.,We are a family and we share many moments together.,,,
somos,no direct translation,Somos una familia unida por el amor.,We are a family united by love.,,,
somos,no direct translation,Somos una familia unida y comprometida.,We are a united and committed family.,,,
somos,no direct translation,Somos un equipo que trabaja con mucho empeño para lograr nuestros objetivos.,We are a team that works hard to achieve our goals.,,,
ser,no direct translation,"Ser o no ser, esa es la pregunta.","To be or not to be, that is the question.",,,
ser,no direct translation,El ser humano es increíblemente capaz de adaptarse a cualquier circunstancia.,The human being is incredibly capable of adapting to any circumstance.,,,
ser,no direct translation,Ser es el verbo fundamental para expresar identidad.,To be is the fundamental verb for expressing identity.,,,
ser,no direct translation,Ser un buen amigo es algo que aprecio mucho.,Being a good friend is something I really appreciate.,,,
ser,no direct translation,El ser humano es un ser racional.,Human being is a rational being.,,,
ser,no direct translation,Ser paciente es una virtud importante.,Being patient is an important virtue.,,,
ser,no direct translation,Ser feliz es un estado emocional deseado.,Being happy is a desired emotional state.,,,
ser,no direct translation,El ser vivo es un organismo que tiene vida.,Living being is an organism that has life.,,,
ser,no direct translation,Ser honesto es importante para mantener relaciones saludables.,Being honest is important for maintaining healthy relationships.,,,
ser,no direct translation,Ser perseverante es crucial para alcanzar metas a largo plazo.,Being persevering is crucial for achieving long-term goals.,,,
ser,no direct translation,"El ser humano es un ser social, necesitamos interactuar con otros.","Human being is a social being, we need to interact with others.",,,
ser,no direct translation,Soy un ser humano con sentimientos y emociones.,I am a human being with feelings and emotions.,,,
sois,no direct translation,Tú y tus amigos sois un equipo unido.,You and your friends are a united team.,,,
sois,no direct translation,Vosotros sois los únicos que pueden solucionar este problema.,You are the only ones who can solve this problem.,,,
sois,no direct translation,Vosotros sois los mejores.,You all are the best.,,,
sois,no direct translation,Vosotros sois los mejores amigos que pude tener.,You are the best friends I could have.,,,
sois,no direct translation,Vosotros sois los mejores amigos que he tenido.,You are the best friends I have ever had.,,,
sois,no direct translation,Sois la mejor pareja que he conocido.,You are the best partner I have ever known.,,,
sois,no direct translation,Vosotros sois los mejores amigos que he tenido.,You are the best friends I have ever had.,,,
sois,no direct translation,Vosotros sois el futuro de nuestro país.,You are the future of our country.,,,
sois,no direct translation,Vosotros sois los mejores amigos que he tenido.,You are the best friends I have ever had.,,,
sois,no direct translation,Vosotros sois lo mejor que me ha pasado.,You are the best thing that has ever happened to me.,,,
sois,no direct translation,Sois los mejores hermanos del mundo.,You are the best brothers in the world.,,,
sois,no direct translation,Vosotros sois la respuesta a mis oraciones.,You are the answer to my prayers.,,,
