fue,was,La causa fue desconocida.,The cause was unknown.,
fue,was,La ciudad fue fundada en 1874.,The city was founded in 1874.,
había,no direct translation,Había una vez un reino mágico.,Once upon a time there was a magical kingdom.,
había,no direct translation,Había mucha gente en la fiesta.,There were many people at the party.,
había,no direct translation,La solución había sido fácil.,The solution had been easy.,
había,no direct translation,Había una luz brillante en el cielo.,There was a bright light in the sky.,
había,no direct translation,No había nadie en casa.,There was no one at home.,
había,no direct translation,La habitación había sido remodelada.,The room had been remodeled.,
había,no direct translation,Había un error en el cálculo.,There was an error in the calculation.,
había,no direct translation,No había forma de solucionarlo.,There was no way to solve it.,
había,no direct translation,Había una razón detrás de ello.,There was a reason behind it.,
había,no direct translation,Había un ruido extraño en la noche.,There was a strange noise at night.,
había,no direct translation,Había un olor a pan recién horneado en el aire.,There was a smell of freshly baked bread in the air.,
había,no direct translation,La situación había cambiado drásticamente.,The situation had changed dramatically.,
había,had,En 23 minutos él había anotado 21 puntos.,In 23 minutes he had scored 21 points.,
había,there was,En los escombros ese día había un libro.,In the rubble that day there was a book.,
había,there were,Había una serie de problemas con esta lógica.,There were a number of problems with this logic.,
era,was,Era un día hermoso.,It was a beautiful day.,
era,was,La respuesta era simple.,The answer was simple.,
era,was,Era un misterio sin resolver.,It was an unsolved mystery.,
era,was,Era un gran problema.,It was a big problem.,
era,was,La situación era tensa.,The situation was tense.,
era,was,Era el mejor día de mi vida.,It was the best day of my life.,
era,was,Era una decisión difícil.,It was a difficult decision.,
era,was,Era una oportunidad única.,It was a unique opportunity.,
era,was,Era una gran sorpresa.,It was a great surprise.,
era,was,Era un sueño hecho realidad.,It was a dream come true.,
era,was,Era el primer paso hacia el éxito.,It was the first step towards success.,
era,was,Era una pregunta interesante.,It was an interesting question.,
era,was,El libro era muy popular.,The book was very popular.,
era,I was being,Era bueno contigo porque es mi trabajo.,I was being nice to you because it is my job.,
muy,very,Estoy muy ocupado hoy.,I am very busy today.,
muy,very,Es muy importante recordar esto.,It is very important to remember this.,
muy,very,El tiempo está muy bueno hoy.,The weather is very good today.,
muy,very,Ella es muy talentosa.,She is very talented.,
muy,very,Este libro es muy interesante.,This book is very interesting.,
muy,very,Él es muy divertido de estar alrededor.,He is very fun to be around.,
muy,very,Esta comida es muy sabrosa.,This food is very tasty.,
muy,very,El examen fue muy difícil.,The exam was very difficult.,
muy,very,La película fue muy emocionante.,The movie was very exciting.,
muy,very,La presentación fue muy impresionante.,The presentation was very impressive.,
muy,very,La naturaleza es muy hermosa aquí.,The nature is very beautiful here.,
muy,very,"El viaje fue muy largo, pero valió la pena.","The trip was very long, but it was worth it.",
año,year,Este año voy a viajar alrededor del mundo.,This year I am traveling around the world.,
año,year,"El año pasado, gané un premio.","Last year, I won an award.",
año,year,"Durante el año, las hojas caen de los árboles.","During the year, the leaves fall from the trees.",
año,year,"En mi año de graduación, recibí muchos regalos.","In my graduation year, I received many gifts.",
año,year,Un año tiene 365 días.,A year has 365 days.,
año,year,El año nuevo se celebra en todo el mundo.,New Year is celebrated worldwide.,
año,year,Los niños van a la escuela un año tras otro.,Children go to school one year after another.,
año,year,"Todos los años, mi familia va al parque de atracciones.","Every year, my family goes to the amusement park.",
año,year,"El año que viene, tengo previsto comprar una casa.","Next year, I plan to buy a house.",
año,year,"Es el año de la mujer, y estamos celebrando su logro y su poder.","It is the year of the woman, and we are celebrating her achievement and power.",
año,year,"En los últimos años, la tecnología ha avanzado mucho.","In recent years, technology has advanced greatly.",
año,year,"En este año, quiero centrarse en mejorar mi salud.","This year, I want to focus on improving my health.",
año,year,El año pasado nos mudamos a Madrid.,Last year we moved to Madrid.,
hasta,until,Me quedo hasta mañana.,I am staying until tomorrow.,
hasta,even,Una persona es respetada hasta por pequeños actos de nobleza.,A person is respected even for small acts of nobility.,
hasta,no direct translation,"Hasta ahora, todo va bien.","So far, everything is going well.",
hasta,no direct translation,"Espero verte pronto, hasta entonces cuídate.","I hope to see you soon, take care until then.",
hasta,no direct translation,Me quedo hasta tarde en la oficina.,I stay late at the office.,
hasta,no direct translation,Hasta la próxima vez que nos veamos.,Until next time we see each other.,
hasta,no direct translation,El tren sale hasta la medianoche.,The train leaves until midnight.,
hasta,no direct translation,Trabajaré hasta que terminemos el proyecto.,I will work until we finish the project.,
hasta,no direct translation,"Hasta mañana, tengo que irme ahora.","Until tomorrow, I have to leave now.",
hasta,no direct translation,Estaré aquí hasta que me llames.,I will be here until you call me.,
hasta,no direct translation,Puedes llamarme hasta tarde esta noche.,You can call me late tonight.,
hasta,no direct translation,No puedo esperar hasta el fin de semana.,I can't wait until the weekend.,
hasta,no direct translation,Quiero ir hasta el mar este verano.,I want to go to the sea this summer.,
hasta,no direct translation,No puedo hacer eso hasta que tenga más información.,I can't do that until I have more information.,
desde,from,La Segunda República en España duró desde 1931 a 1939.,The Second Republic in Spain lasted from 1931 to 1939.,
desde,since,"Desde mi infancia, siempre he querido ser médico.","Since my childhood, I have always wanted to be a doctor.",
desde,no direct translation,El autobús parte desde la estación a las 8 de la mañana.,The bus leaves from the station at 8 in the morning.,
desde,no direct translation,Ella ha estado viviendo en España desde hace dos años.,She has been living in Spain for two years.,
desde,no direct translation,Estoy esperando mi paquete desde la semana pasada.,I have been waiting for my package since last week.,
desde,no direct translation,He estado trabajando en esta compañía desde hace 5 años.,I have been working at this company for 5 years.,
desde,no direct translation,Él ha estado practicando piano desde que tenía 5 años.,He has been playing piano since he was 5 years old.,
desde,no direct translation,"Desde que comencé a hacer ejercicio, me siento mucho mejor.","Since I started exercising, I feel much better.",
desde,no direct translation,Ellos han estado juntos desde el colegio.,They have been together since high school.,
desde,no direct translation,"Desde que adquirí un smartphone, siempre estoy conectado.","Since I got a smartphone, I am always connected.",
desde,no direct translation,El vuelo sale desde el aeropuerto a las 10 PM.,The flight departs from the airport at 10 PM.,
desde,no direct translation,"Desde que me mudé a esta ciudad, he conocido a muchas personas interesantes.","Since I moved to this city, I have met many interesting people.",
desde,no direct translation,Ella ha estado interesada en la astronomía desde que era niña.,She has been interested in astronomy since she was a child.,
está,he is,Él no vino a clases porque está enfermo.,He did not come to school because he is sick.,
está,is,La Puerta de Brandenburgo está en Berlín.,The Brandenburg Gate is in Berlin.,
está,she is,Conozco a esa mujer. Está casada con un amigo.,I know that woman. She is married to a friend of mine.,
está,is,¿Donde está el baño?,Where is the bathroom?,
está,is,Está lloviendo afuera.,It is raining outside.,
está,is,¿Dónde está mi libro?,Where is my book?,
está,is,Está caliente hoy.,It is hot today.,
está,is,La tienda está cerrada.,The store is closed.,
está,is,Él está cansado después del trabajo.,He is tired after work.,
está,is,La comida está lista.,The food is ready.,
está,is,El avión está retrasado.,The plane is delayed.,
está,is,Ella está muy feliz.,She is very happy.,
está,is,El juego está por comenzar.,The game is about to start.,
está,is,La respuesta está incorrecta.,The answer is incorrect.,
está,is,La casa está en la esquina.,The house is on the corner.,
está,is,No está permitido fumar aquí.,Smoking is not allowed here.,
mi,my,Mi perro es muy juguetón.,My dog is very playful.,
mi,my,¿Podrías pasarme mi libro?,Could you pass me my book?,
mi,my,Mi casa está en el campo.,My house is in the countryside.,
mi,my,Me encanta mi trabajo.,I love my job.,
mi,my,Mi mamá es cocinera.,My mom is a cook.,
mi,my,Este es mi auto nuevo.,This is my new car.,
mi,my,La comida en mi restaurante favorito es deliciosa.,The food at my favorite restaurant is delicious.,
mi,my,Mi padre es médico.,My father is a doctor.,
mi,my,Mi hermano estudia ingeniería.,My brother studies engineering.,
mi,no direct translation,A mi me gusta viajar.,I like traveling.,
mi,my,Mi hobby es tocar la guitarra.,My hobby is playing the guitar.,
mi,my,Mi cumpleaños es en julio.,My birthday is in July.,
porque,because,Mi hermano está triste porque no ganó el concurso.,My brother is upset because he did not win the contest.,
porque,that,Reza porque tu mamá no se entere.,Pray that your mother does not find out.,
porque,because,"Porque es un día soleado, decidimos ir al parque.","Because it's a sunny day, we decided to go to the park.",
porque,because,No puedo salir temprano hoy porque tengo una reunión.,I can't leave early today because I have a meeting.,
porque,because,Me gusta leer libros de misterio porque me mantienen en tensión.,I like reading mystery books because they keep me on edge.,
porque,because,Ella no quiere ir al dentista porque tiene miedo.,She doesn't want to go to the dentist because she's scared.,
porque,because,No compré ese coche porque era demasiado caro.,I didn't buy that car because it was too expensive.,
porque,because,No pude terminar mi tarea ayer porque se me fue la luz.,I couldn't finish my homework yesterday because the power went out.,
porque,because,Me gusta bailar porque me hace sentir libre.,I like dancing because it makes me feel free.,
porque,because,No pude conseguir una cita con el médico porque está lleno.,I couldn't get an appointment with the doctor because it's fully booked.,
porque,because,No le gusta viajar en avión porque le da miedo.,He doesn't like flying because he's afraid.,
porque,because,Me gusta ir al gimnasio porque me hace sentir energético.,I like going to the gym because it makes me feel energetic.,
qué,what,¿Qué quieres comer hoy?,What do you want to eat today?,
qué,what,No sé qué decir.,I don't know what to say.,
qué,what,¿Qué te parece si vamos al parque?,What do you think about going to the park?,
qué,what,No entiendo qué está pasando.,I don't understand what's happening.,
qué,what,¿Qué tiempo va a hacer mañana?,What is the weather going to be like tomorrow?,
qué,what,Me preocupa qué va a pasar.,I'm worried about what will happen.,
qué,what,¿Qué tal si lo hacemos de esta manera?,What if we do it this way?,
qué,what,No sé a qué se refiere.,I don't know what he/she is referring to.,
qué,what,¿Qué planes tienes para el fin de semana?,What are your plans for the weekend?,
qué,what,¿De qué estás hablando?,What are you talking about?,
qué,what,No tengo idea de qué hacer.,I have no idea what to do.,
qué,what,Me preocupa qué pensarán los demás.,I'm worried about what others will think.,
qué,which,¿Qué color prefieres?,Which color do you prefer?,
qué,how,¿Puedes creer qué esta serie es genial?,Can you believe how amazing this series is?,
qué,what,¿Qué estás haciendo?,What are you doing?,
solo,only,Solo quiero un café.,I only want a coffee.,
solo,alone,No puedo ir al cine solo.,I can't go to the movies alone.,
solo,only,Él solo toca el piano.,He only plays the piano.,
solo,alone,No puedo hacerlo solo.,I can't do it alone.,
solo,only,"Ella es la única que puede ayudar, solo ella.","She is the only one who can help, only she.",
solo,just,"No tengo nada más que hacer, solo estudiar para el examen.","I have nothing else to do, just study for the exam.",
solo,only,"Es solo una idea, no es necesariamente cierta.","It's just an idea, not necessarily true.",
solo,only,Solo queda una semana para la fecha límite.,Only one week remains until the deadline.,
solo,alone,"No puedo tomar una decisión solo, necesito la ayuda de alguien más.","I can't make a decision alone, I need someone else's help.",
solo,only,Solo he venido aquí para decirte adiós.,I've only come here to say goodbye.,
solo,alone,"No hay nadie en la casa, estoy aquí solo.","No one is in the house, I am here alone.",
solo,only,Solo estamos esperando a que llegue el autobús.,We are only waiting for the bus to arrive.,
han,have,Wiz y Gucci han colaborado varias veces en el pasado.,Wiz and Gucci have collaborated several times in the past.,
han,have been,Michael y su gente han estado trabajando contra mi equipo.,Michael and his people have been working against my team.,
han,have,Y se han convertido en apuestas de elevado valor estratégico para el desarrollo económico.,These have become centres of very high strategic value in the economic development of the region.,
han,have,Al Japón le complacen las contribuciones que se han hecho para apoyar esos esfuerzos.,Japan is pleased with the contributions that have been made to support these efforts.,
han,have,Me han dicho que hay más sombra en mi poesía que luz.,I have been told that there is more shadow than light in my poetry.,
han,has been,Han pasado tres años desde la última vez que nos vimos.,It's been three years since we last saw each other.,
han,have,¿Has notado que han llegado más pájaros al parque este año?,Have you noticed that more birds have arrived at the park this year?,
han,have,Han dicho que va a llover esta tarde.,They have said that it's going to rain this afternoon.,
han,have,Los niños han terminado sus deberes para hoy.,The children have finished their homework for today.,
han,have,Han llegado las flores que pedimos.,The flowers we ordered have arrived.,
han,have,¿Has visto que han reparado la luz del semáforo?,Have you seen that they have fixed the traffic light?,
han,have,Han sido invitados a la fiesta de cumpleaños.,They have been invited to the birthday party.,
han,have,El equipo han ganado todos sus partidos este mes.,The team have won all their games this month.,
han,have,Han anunciado un nuevo proyecto en la empresa.,They have announced a new project at the company.,
han,have,Han cambiado la hora de la reunión para mañana.,They have changed the meeting time for tomorrow.,
yo,I,Yo soy un programa de inteligencia artificial.,I am an artificial intelligence program.,
yo,I,Yo sé muchas cosas sobre varios temas.,I know many things about various subjects.,
yo,I,Yo puedo responder preguntas y ayudarte.,I can answer questions and help you.,
yo,I,Yo soy desarrollado por OpenAI.,I was developed by OpenAI.,
yo,I,Yo aprendí de una gran cantidad de texto en internet.,I learned from a large amount of text on the internet.,
yo,I,Yo estoy disponible para hablar contigo.,I am available to talk to you.,
yo,I,Yo soy capaz de generar texto.,I am capable of generating text.,
yo,I,Yo estoy en constante aprendizaje.,I am continuously learning.,
yo,I,Yo trato de ser lo más útil posible.,I try to be as useful as possible.,
yo,I,Yo estoy aquí para servirte.,I am here to serve you.,
yo,me,Tú y yo estamos en la misma página con esto.,You and me are on the same page with this.,
yo,I,Yo soy su hermana.,I am her sister.,
hay,there are,En el centro hay muchos hoteles disponibles para los turistas.,In the centre there are many hotels available to tourists.,
hay,there is,Detrás de cada buena fiesta hay un gran DJ.,Behind every good party there is a great DJ.,
hay,(there) is,Aquí hay una lista de las fuentes.,Here (there) is a list of the sources.,
hay,(there) are,Aquí hay vuelos directos.,Here (there) are direct flights.,
hay,no direct translation,Para el alquiler de un avión de línea hay que tener en cuenta multitud de variables.,For your commercial jet we need to take into account many parameters.,
hay,no direct translation,Sabemos lo que hay que hacer.,We know what to do.,
hay,there are,Hay una serie de problemas.,There are a number of problems.,
hay,there is,Hay una reunión a las 10 de la mañana.,There is a meeting at 10am.,
hay,there is,Hay algunos libros en la biblioteca.,There are some books in the library.,
hay,there is,Hay un jardín detrás de la casa.,There is a garden behind the house.,
hay,there are,Hay muchos pájaros en el cielo.,There are many birds in the sky.,
hay,there is,Hay una fiesta esta noche.,There is a party tonight.,
hay,there is,Hay una solución para este problema.,There is a solution for this problem.,
hay,there is,Hay una tienda de comestibles cerca.,There is a grocery store nearby.,
hay,there is,Hay un parque cercano donde puedes caminar.,There is a nearby park where you can walk.,
hay,there is,No hay nadie en casa ahora.,There is no one at home now.,
hay,is,¿Qué hay para cenar esta noche?,What's for dinner tonight?,
vez,time,Esa fue la última vez que lo vi.,That was the last time I saw him.,
vez,no direct translation,Tal vez esto es algo que deberíamos hablar con Bob.,Maybe this is something we should talk about with Bob.,quizá
vez,no direct translation,A veces un niño hace una y otra vez.,Sometimes a child will do something over and over.,
vez,time,Yo mismo tocaba de vez en cuando el violín para ellos.,I even played the violin for them from time to time.,
vez,time,La oferta es amplia a la vez que compacta y perfectamente ajustada a sus necesidades.,The offer is extensive and at the same time compact and ideally attuned to your needs.,
vez,time,Esta es la primera vez que visito esta ciudad.,This is the first time I visit this city.,
vez,time,"La vez pasada que lo intenté, fracasé.","The last time I tried, I failed.",
vez,time,Me gustaría tener la oportunidad de hacerlo bien la próxima vez.,I would like to have the chance to do it right the next time.,
vez,time,Esta es la segunda vez que me haces esta pregunta.,This is the second time you ask me this question.,
vez,time,"La primera vez que lo vi, supe que tenía que tenerlo.","The first time I saw it, I knew I had to have it.",
vez,time,"Cada vez que pienso en ello, me hace sentir triste.","Every time I think about it, it makes me feel sad.",
vez,time,La última vez que hablé con él fue hace una semana.,The last time I spoke to him was a week ago.,
vez,time,La primera vez que oí hablar de eso fue hace mucho tiempo.,The first time I heard about it was a long time ago.,
vez,time,"Cada vez que hago esto, me recuerda mi infancia.","Every time I do this, it reminds me of my childhood.",
puede,can,Mi novia puede bailar salsa.,My girlfriend can dance the salsa.,
puede,can,El coeficiente puede tener un valor de 1 a 500.,The coefficient can have a value of 1 to 500.,
puede,may,Esta dosis puede variar si el paciente es un niño.,This dose may vary if the patient is a child.,
puede,can,Pero parece bastante obvio que no se puede hacer nada solos.,But it seems pretty obvious that nothing can be done alone.,
puede,can,No se puede hacer un buen diagnóstico en una sola visita!,You can not make a good diagnosis in one visit! ,
puede,can,Sabemos que se puede hacer.,We know it can be done.,
puede,may,Puede que llueva mañana.,It may rain tomorrow.,
puede,can,Puede que haya un atasco en la carretera.,There may be a traffic jam on the road.,
puede,can,¿Puede ayudarme a encontrar un buen libro para leer?,Can you help me find a good book to read?,
puede,can,Puede que tengas que esperar un poco más.,You may have to wait a little longer.,
todos,all,Han venido todos mis amigos.,All my friends have come.,
todos,every,Todos los lunes voy al club.,Every Monday I go to the club.,
todos,we all,Todos queremos lo mejor para el país.,We all want what is best for our country.,
todos,everyone,Este es uno de esos libros con proyectos para todos.,This is one of those books with projects for everyone.,
todos,all,Super Mario 3 es el juego para consola más vendido por separado de todos los tiempos.,Super Mario 3 remains the best-selling individually-sold console game of all time.,
todos,all,Todos los estudiantes deben presentar su tarea antes del fin de semana.,All the students must submit their homework before the weekend.,
todos,all,No todos los días son iguales.,Not every day is the same.,
todos,all,Ella invitó a todos sus amigos a la fiesta.,She invited all her friends to the party.,
todos,all,Todos los caminos llevan a Roma.,All roads lead to Rome.,
todos,all,No todos piensan lo mismo sobre el tema.,Not everyone thinks the same about the subject.,
todos,all,Todos los juegos de la consola están agotados en estos momentos.,All the games of the console are sold out at the moment.,
todos,all,Es importante que todos participen en la reunión.,It is important that everyone participate in the meeting.,
todos,all,No todos los libros son interesantes.,Not all books are interesting.,
todos,all,Todos los miembros del equipo recibieron una medalla de oro.,All team members received a gold medal.,
todos,all,No todos los animales son domésticos.,Not all animals are domestic.,
palabra,word,frase,sentence,palabra_alterna,,
yo,I,Yo estudio español todos los días para mejorar mi comunicación.,I study Spanish every day to improve my communication.,,,
yo,I,Yo prefiero el café colombiano porque tiene un sabor más fuerte.,I prefer Colombian coffee because it has a stronger flavor.,,,
yo,I,"A mí me encanta viajar y conocer nuevas culturas, yo he visitado muchos países.","I love to travel and experience new cultures, I have visited many countries.",,,
yo,I,Yo siempre llevo mi teléfono móvil en el bolsillo porque no me gusta dejarlo en casa.,I always carry my mobile phone in my pocket because I don't like to leave it at home.,,,
yo,I,"Yo quiero comprar un coche nuevo el año que viene, pero primero tengo que ahorrar suficiente dinero.","I want to buy a new car next year, but first I have to save enough money.",,,
tú,you,"Tú eres mi mejor amigo, siempre me haces reír.","You are my best friend, you always make me laugh.",,,
tú,you,¿Tú quieres ir al cine conmigo esta noche?,Do you want to go to the movies with me tonight?,,,
tú,you,"Tú tienes una voz muy bonita, deberías cantar más seguido.","You have a very nice voice, you should sing more often.",,,
tú,you,Tú y yo podemos hacer juntos el proyecto para la clase de matemáticas.,You and I can work on the math project together.,,,
tú,you,¿Tú sabes si la biblioteca abre los domingos?,Do you know if the library is open on Sundays?,,,
él,he,"Él es un excelente cocinero, siempre hace platos deliciosos.","He is an excellent cook, he always makes delicious dishes.",,,
él,he,Él va al gimnasio todas las mañanas para hacer ejercicio.,He goes to the gym every morning to work out.,,,
él,he,"A él le gusta la música clásica, prefiere escucharla en lugar de otros géneros.","He likes classical music, he prefers to listen to it instead of other genres.",,,
él,he,Él tiene dos hermanos mayores y una hermana menor.,He has two older brothers and a younger sister.,,,
él,he,"Él es un gran fanático de los deportes, especialmente del fútbol.","He is a big sports fan, especially of soccer.",,,
ella,she,"Ella es una mujer muy inteligente y trabajadora, siempre se esfuerza al máximo.","She is a very smart and hardworking woman, she always gives her best effort.",,,
ella,she,Ella va a la universidad para estudiar ingeniería civil.,She goes to college to study civil engineering.,,,
ella,she,"A ella le encanta bailar salsa, va a clases todos los sábados.","She loves to dance salsa, she goes to classes every Saturday.",,,
ella,she,"Ella tiene dos gatos y un perro, todos son muy juguetones.","She has two cats and a dog, they are all very playful.",,,
ella,she,Ella quiere viajar por todo el mundo y conocer nuevas culturas.,She wants to travel around the world and experience new cultures.,,,
usted,you,Usted necesita ayuda con su equipaje?,Do you need help with your luggage? (formal),,,
usted,you,Usted es muy amable por ofrecerme su asiento.,You are very kind to offer me your seat. (formal),,,
usted,you,"¿Usted me puede decir la hora, por favor?","Can you tell me the time, please? (formal)",,,
usted,you,¿Qué planes tiene usted para el fin de semana?,What plans do you have for the weekend? (formal),,,
nosotros,we,Nosotros vamos a la playa cada verano para disfrutar del sol y del mar.,We go to the beach every summer to enjoy the sun and the sea. (masculine or mixed group),,,
nosotros,we,Nosotros estamos muy emocionados por el concierto de esta noche.,We are very excited about tonight's concert. (masculine or mixed group),,,
nosotros,we,Nosotros queremos visitar todos los museos en esta ciudad.,We want to visit all the museums in this city. (masculine or mixed group),,,
nosotros,we,Nosotros somos los mejores amigos desde la infancia.,We have been best friends since childhood. (masculine or mixed group),,,
nosotros,we,Nosotros nunca olvidaremos ese viaje a Europa.,We will never forget that trip to Europe. (masculine or mixed group),,,
nosotras,we,Nosotras estudiamos juntas para el examen de historia.,We study together for the history exam. (feminine group),,,
nosotras,we,Nosotras siempre nos apoyamos la una a la otra en los momentos difíciles.,We always support each other in difficult times. (feminine group),,,
nosotras,we,Nosotras decidimos hacer una cena especial para celebrar nuestro aniversario.,We decided to have a special dinner to celebrate our anniversary. (feminine group),,,
nosotras,we,Nosotras queremos viajar por todo el mundo juntas.,We want to travel around the world together. (feminine group),,,
nosotras,we,Nosotras tenemos gustos similares en cuanto a la música y los libros.,We have similar tastes in music and books. (feminine group),,,
vosotros,you all,Vosotros sois los mejores estudiantes de la clase.,You all are the best students in the class. (masculine or mixed group),Ustedes,,
vosotros,you all,Vosotros podéis hablar inglés y francés con fluidez.,You all can speak English and French fluently. (masculine or mixed group),Ustedes,,
vosotros,you all,¿Vosotros queréis ir al cine conmigo esta noche?,Do you all want to go to the movies with me tonight? (masculine or mixed group),Ustedes,,
vosotros,you all,"Vosotros habéis trabajado duro todo el año, ¡ahora es tiempo de relajarse!","You all have worked hard all year, now it's time to relax! (masculine or mixed group)",Ustedes,,
vosotros,you all,¿Qué planes tenéis vosotros para el fin de semana?,What plans do you all have for the weekend? (masculine or mixed group),Ustedes,,
vosotras,you all,Vosotras sois las mejores amigas que alguien podría pedir.,You all are the best friends anyone could ask for. (feminine group),Ustedes,,
vosotras,you all,¿Vosotras queréis ir a la playa o a la montaña este fin de semana?,Do you all want to go to the beach or the mountains this weekend? (feminine group),Ustedes,,
vosotras,you all,"Vosotras habéis trabajado duro en el proyecto, ¡felicidades!","You all have worked hard on the project, congratulations! (feminine group)",Ustedes,,
vosotras,you all,¿Qué planes tenéis vosotras para el verano?,What plans do you all have for the summer? (feminine group),Ustedes,,
vosotras,you all,Vosotras siempre sabéis cómo hacerme reír.,You all always know how to make me laugh. (feminine group),Ustedes,,
ellos,they,Ellos son los dueños de la casa que está al final de la calle.,They are the owners of the house at the end of the street. (masculine or mixed group),,,
ellos,they,Ellos siempre van a la misma cafetería para desayunar.,They always go to the same café for breakfast. (masculine or mixed group),,,
ellos,they,Ellos se conocieron en la universidad y han sido amigos desde entonces.,They met in college and have been friends ever since. (masculine or mixed group),,,
ellos,they,Ellos ganaron el partido de fútbol gracias a un gol en el último minuto.,They won the soccer match thanks to a goal in the last minute. (masculine or mixed group),,,
ellos,they,Ellos quieren viajar por todo Sudamérica antes de establecerse en un lugar definitivo.,They want to travel throughout South America before settling down in a permanent place. (masculine or mixed group),,,
ellas,they,Ellas son las encargadas de organizar la fiesta de cumpleaños.,They are in charge of organizing the birthday party. (feminine group),,,
ellas,they,¿Ellas vienen a la reunión de esta tarde?,Are they coming to the meeting this afternoon? (feminine group),,,
ellas,they,Ellas prefieren salir de noche en lugar de quedarse en casa.,They prefer to go out at night instead of staying at home. (feminine group),,,
ellas,they,Ellas están estudiando para el examen de mañana juntas.,They are studying together for tomorrow's exam. (feminine group),,,
ellas,they,Ellas están planeando un viaje a la playa para el verano.,They are planning a beach trip for the summer. (feminine group),,,
palabra,word,frase,sentence,palabra_alterna,,
estoy,I am,Estoy sentado.,I am sitting down.,yo estoy,,
está,is,El libro está en la mesa.,The book is on the table.,,,
estás,are,Tú estás caminando.,You (singular) are walking.,tú estás,,
está,it is,Está lloviendo hoy.,It is raining today.,,,
estoy,I am,Estoy feliz,I am happy.,yo estoy,,
están,are,Ellos están en el jardín.,They are in the garden.,,,
está,is,El gato está dormido en el sol.,The cat is sleeping in the sun.,,,
están,are,En este momento mis amigas están en la tienda.,In this moment my (feminine) friends are in the store.,,,
estás,are,¿Tú estás listo para salir ahora?,Are you (singular) ready to leave now?,,,
estamos,are,Nosotros estamos contentos.,We are content.,,,
estar,to be,Hoy va a estar el dia lluvioso.,Today is going to be a rainy day.,ser,,
estoy,no direct translation,Estoy feliz de tenerte a mi lado.,I'm happy to have you by my side.,,,
estoy,no direct translation,Estoy muy contento de haber aprendido este nuevo vocabulario.,I'm very happy to have learned this new vocabulary.,,,
estoy,no direct translation,Estoy contenta con el resultado.,I am happy with the result.,,,
estoy,no direct translation,Estoy contento de que la situación haya mejorado.,I am glad that the situation has improved.,,,
estoy,no direct translation,Estoy usando esta palabra para practicar ortografía.,I am using this word to practice spelling.,,,
estoy,no direct translation,Estoy muy emocionado por la oportunidad que se me ha presentado.,I am very excited for the opportunity that has been presented to me.,,,
estoy,no direct translation,Estoy segura de que tendré éxito.,I'm sure I'll be successful.,,,
estoy,no direct translation,Estoy contento de estar aquí.,I'm happy to be here.,,,
estoy,no direct translation,Estoy deseando tener un día libre para descansar.,I'm looking forward to having a day off to rest.,,,
estoy,no direct translation,Estoy feliz de poder compartir esta experiencia con mis amigos.,I'm happy to be able to share this experience with my friends.,,,
estoy,no direct translation,Estoy listo para comenzar.,I'm ready to start.,,,
está,no direct translation,Esta tarea está pendiente de ser completada.,This task is pending to be completed.,,,
está,no direct translation,El tiempo está hermoso hoy.,The weather is beautiful today.,,,
está,no direct translation,El partido está a punto de comenzar.,The match is about to begin.,,,
está,no direct translation,La ciudad está llena de vida y energía.,The city is full of life and energy.,,,
está,no direct translation,La tienda está cerrando en 10 minutos.,The store is closing in 10 minutes.,,,
