palabra,word,frase,sentence,palabra_alterna,,
vas,(you go),¿Vas a la universidad o trabajas tiempo completo?,Are you going to college or working full-time?,,,
vas,(you go),No vas a creer lo que acabo de escuchar.,You're not going to believe what I just heard.,,,
vas,(you go),"Si vas al parque, asegúrate de llevar protector solar.","If you go to the park, make sure to bring sunscreen.",,,
vas,(you go),¿Vas a ir al cine conmigo el fin de semana?,Are you going to the movies with me this weekend?,,,
vas,(you go),Tú vas a la tienda y yo voy a la farmacia.,You go to the store and I'm going to the pharmacy.,,,
vas,(you go),¿Tú vas a la reunión mañana por la mañana?,Are you going to the meeting tomorrow morning?,,,
vas,(you go),"Si tú vas a la fiesta, asegúrate de llegar temprano.","If you're going to the party, make sure to arrive early.",,,
vas,(you go),¿Tú vas a dejar de fumar o seguirás haciéndolo?,Are you going to quit smoking or keep doing it?,,,
va,(he/she/you goes),El equipo de fútbol va a jugar en el estadio este fin de semana.,The soccer team is going to play at the stadium this weekend.,,,
va,(he/she/you goes),Mi hermana mayor va a graduarse de la universidad en mayo.,My older sister is going to graduate from college in May.,,,
va,(he/she/you goes),¿A dónde va la carretera que está frente a la casa?,Where does the road in front of the house go?,,,
va,(he/she/you goes),"Hoy hace mucho calor, así que creo que va a ser un día difícil.","It's very hot today, so I think it's going to be a difficult day.",,,
va,(he/she/you goes),¿Podrías decirme a qué hora va a pasar el autobús por aquí?,Could you tell me what time the bus is going to pass by here?,,,
va,(he/she/you goes),Ella va a la escuela todos los días en autobús.,She goes to school every day by bus.,,,
va,(he/she/you goes),Él va a visitar a su familia en otra ciudad este fin de semana.,He is going to visit his family in another city this weekend.,,,
va,(he/she/you goes),Usted va a tener que trabajar mucho para terminar este proyecto a tiempo.,You are going to have to work hard to finish this project on time.,,,
va,(he/she/you goes),Ella va a hacer una presentación en la conferencia de negocios mañana por la mañana.,She is going to give a presentation at the business conference tomorrow morning.,,,
va,(he/she/you goes),¿Usted va a asistir a la reunión del equipo esta tarde?,Are you going to attend the team meeting this afternoon?,,,
vamos,(we go),"Vamos al cine esta noche, ¿te parece?","Let's go to the cinema tonight, shall we?",,,
vamos,(we go),"¡Vamos, no te rindas, puedes hacerlo!","Come on, don't give up, you can do it!",,,
vamos,(we go),¿Vamos juntos al supermercado a comprar las cosas para la cena?,Shall we go together to the supermarket to buy things for dinner?,,,
vamos,(we go),"Vamos a necesitar un paraguas, parece que va a llover.","We're going to need an umbrella, it looks like it's going to rain.",,,
vamos,(we go),"¡Vamos, apúrate, que ya estamos llegando tarde!","Let's go, hurry up, we're already running late!",,,
vamos,(we go),Nosotras vamos a caminar por el parque esta tarde.,We are going to walk through the park this afternoon.,,,
vamos,(we go),¿Nosotros vamos a tomar el mismo autobús que tú?,Are we going to take the same bus as you?,,,
vamos,(we go),Nosotras vamos a preparar la cena para toda la familia.,We are going to prepare dinner for the whole family.,,,
vamos,(we go),¿Nosotros vamos a asistir a la conferencia juntos?,Are we going to attend the conference together?,,,
vamos,(we go),Nosotros vamos a donar una parte de nuestras ganancias a una organización benéfica.,We are going to donate a portion of our earnings to a charitable organization.,,,
vais,(you all go),¿A qué hora vais a salir de casa mañana?,What time are you all going to leave the house tomorrow?,,,
vais,(you all go),"Si no os dais prisa, vais a llegar tarde al cine.","If you don't hurry up, you all are going to be late for the movie.",,,
vais,(you all go),¿Vais a invitar a alguien más a la fiesta?,Are you all going to invite someone else to the party?,,,
vais,(you all go),"Si seguís estudiando así de bien, vais a aprobar el examen seguro.","If you all keep studying this well, you're definitely going to pass the exam.",,,
vais,(you all go),¿Vais a ir a la playa este fin de semana?,Are you all going to the beach this weekend?,,,
vais,(you all go),Vosotras vais a tener que llegar temprano para conseguir un buen lugar en la fila.,You all are going to have to arrive early to get a good spot in line.,,,
vais,(you all go),¿Vosotros vais a venir a mi fiesta de cumpleaños este fin de semana?,Are you all going to come to my birthday party this weekend?,,,
vais,(you all go),"No sé adónde vais a ir de vacaciones este año, ¿tenéis algún plan en mente?","I don't know where you all are going on vacation this year, do you have any plans in mind?",,,
vais,(you all go),"Si queréis llegar a tiempo a la reunión, vosotros vais a tener que tomar el metro.","If you want to arrive on time to the meeting, you all will have to take the subway.",,,
vais,(you all go),Vosotras vais a ser las encargadas de preparar los aperitivos para la fiesta de graduación.,You all are going to be in charge of preparing the appetizers for the graduation party.,,,
van,(they/you all go),Mi amigo y yo vamos a viajar en una van grande para nuestro próximo viaje por carretera.,My friend and I are going to travel in a large van for our next road trip.,,,
van,(they/you all go),Ayer vi una van de reparto de paquetes estacionada en la calle.,Yesterday I saw a delivery van parked on the street.,,,
van,(they/you all go),Los músicos cargaron todos sus instrumentos en la parte trasera de la van antes de dirigirse al concierto.,The musicians loaded all their instruments in the back of the van before heading to the concert.,,,
van,(they/you all go),Mi vecino alquila una van para transportar a su equipo de fútbol a los partidos de los fines de semana.,My neighbor rents a van to transport his soccer team to weekend games.,,,
van,(they/you all go),La empresa de mudanzas envió una van para llevar mis muebles nuevos a mi casa.,The moving company sent a van to bring my new furniture to my house.,,,
van,(they/you all go),Ellos van a la fiesta juntos.,They are going to the party together.,,,
van,(they/you all go),Ustedes van a tener un gran tiempo en su viaje.,You all are going to have a great time on your trip.,,,
van,(they/you all go),Ellas van a caminar por el parque esta tarde.,They (feminine) are going to walk in the park this afternoon.,,,
van,(they/you all go),¿A dónde van a ir para sus vacaciones este año?,Where are you all going for your vacation this year?,,,
van,(they/you all go),Los estudiantes dicen que ellos van a estudiar para el examen de mañana.,The students say that they are going to study for tomorrow's exam.,,,
