palabra,word,frase,sentence,palabra_alterna,,
fue,did he/she/you go,¿Fue al concierto de rock la semana pasada?,Did he/she/you go to the rock concert last week?,,,
fue,went,"La semana pasada, mi amigo fue al médico porque estaba enfermo.","Last week, my friend went to the doctor because he was sick.",,,
fue,went,"Cuando era niño, mi papá fue a la universidad para estudiar ingeniería.","When he was a child, my dad went to college to study engineering.",,,
fue,went,"El año pasado, mi hermana fue a España a estudiar español.","Last year, my sister went to Spain to study Spanish.",,,
fuimos,we were,"Durante la competencia, fuimos el equipo más fuerte y ganamos el primer lugar.","During the competition, we were the strongest team and won first place.",,,
fuimos,we were,"Cuando éramos jóvenes, fuimos a muchas fiestas y conocimos a mucha gente interesante.","When we were young, we went to many parties and met a lot of interesting people.",,,
fuimos,we were,"Cuando éramos niños, fuimos amigos inseparables.","When we were kids, we were inseparable friends.",,,
fuimos,we were,"Durante la ceremonia de graduación, fuimos los primeros en recibir nuestros diplomas.","During the graduation ceremony, we were the first to receive our diplomas.",,,
fuimos,we went,Ayer fuimos al parque y nos divertimos mucho.,Yesterday we went to the park and had a lot of fun.,,,
fuimos,we went,"Durante nuestras vacaciones, fuimos a Hawái y disfrutamos de la playa.","During our vacation, we went to Hawaii and enjoyed the beach.",,,
fuimos,we went,La semana pasada fuimos al estadio y vimos un partido emocionante.,Last week we went to the stadium and saw an exciting match.,,,
fuimos,we went,Ayer fuimos al supermercado y compramos todo lo que necesitábamos.,Yesterday we went to the supermarket and bought everything we needed.,,,
fuimos,we went,Hace un mes fuimos a la montaña y escalamos una cima impresionante.,A month ago we went to the mountain and climbed an impressive summit.,,,
fuisteis,you were,Vosotros fuisteis los mejores alumnos de la clase.,You were the best students in the class.,,,
fuisteis,you were,¿Fuisteis vosotros los que ganaron el concurso?,Were you the ones who won the contest?,,,
fuisteis,you were,En la fiesta de ayer fuisteis muy divertidos.,You (plural) were very fun at yesterday's party.,,,
fuisteis,you were,Fuisteis muy amables conmigo cuando llegué a la ciudad.,You (plural) were very kind to me when I arrived in the city.,,,
fuisteis,did you go,¿Fuisteis vosotros al cine ayer?,Did you guys go to the cinema yesterday?,,,
fuisteis,you went,Vosotros fuisteis a la playa mientras yo estaba en el trabajo.,You guys went to the beach while I was at work.,,,
fuisteis,you went,Fuisteis al concierto de rock la semana pasada.,You (plural) went to the rock concert last week.,,,
fuisteis,you went,Me dijeron que fuisteis a la montaña a hacer senderismo.,They told me you (plural) went hiking in the mountains.,,,
fuisteis,you went,¿Por qué no me dijisteis que fuisteis de compras sin mí?,Why didn't you tell me that you (plural) went shopping without me?,,,
fueron,(they) were,Mis padres fueron muy comprensivos conmigo durante mi adolescencia.,My parents were very understanding with me during my adolescence.,,,
fueron,(they) were,"En la reunión de ayer, los invitados fueron muy amables y simpáticos.","At yesterday's meeting, the guests were very friendly and nice.",,,
fueron,(they) were,"Los vestidos que compré para la boda fueron un poco caros, pero valieron la pena.","The dresses I bought for the wedding were a bit expensive, but worth it.",,,
fueron,(they) were,"En la historia, los dinosaurios fueron animales gigantes que habitaron la tierra hace millones de años.","In history, dinosaurs were giant animals that lived on Earth millions of years ago.",,,
fueron,(they) went,"El fin de semana pasado, mis hermanos fueron al cine a ver una película de terror.","Last weekend, my brothers went to the cinema to watch a horror movie.",,,
fueron,(they) went,Mis amigos y yo fuimos a la playa el verano pasado y lo pasamos genial.,My friends and I went to the beach last summer and had a great time.,,,
fueron,(they) went,"Hace unos días, mis compañeros de trabajo fueron a un seminario de negocios en Nueva York.","A few days ago, my coworkers went to a business seminar in New York.",,,
fueron,(they) were,"En el concurso de baile, los concursantes fueron muy talentosos y creativos.","In the dance contest, the contestants were very talented and creative.",,,
fueron,(they) went,"Durante las vacaciones de Navidad, mis primos fueron a esquiar en las montañas.","During the Christmas holidays, my cousins went skiing in the mountains.",,,
