soy,no direct translation,Soy el dueño de mi propio destino.,I am the master of my own destiny.,,,
soy,no direct translation,Soy una persona responsable y comprometida con mis metas.,I am a responsible person and committed to my goals.,,,
soy,no direct translation,Soy el dueño de mi futuro.,I am the master of my own destiny.,,,
soy,no direct translation,Soy el encargado de este proyecto.,I am the manager of this project.,,,
soy,no direct translation,"Yo soy capaz de comunicarme en varios idiomas, incluyendo inglés y español.","I am capable of communicating in multiple languages, including English and Spanish.",,,
soy,no direct translation,Soy una persona honesta y responsable.,I am an honest and responsible person.,,,
soy,no direct translation,Soy la persona que está a cargo de esta tarea.,I am the person in charge of this task.,,,
soy,no direct translation,Soy una persona feliz.,I am a happy person.,,,
soy,no direct translation,Soy una persona creativa.,I am a creative person.,,,
somos,no direct translation,Somos seres humanos creados para vivir juntos en armonía.,We are human beings created to live together in harmony.,,,
somos,no direct translation,Nosotros somos la generación que hará la diferencia.,We are the generation that will make a difference.,,,
somos,no direct translation,Nosotros somos un equipo unido.,We are a united team.,,,
somos,no direct translation,Nosotros somos la mejor solución para este problema.,We are the best solution for this problem.,,,
somos,no direct translation,Somos un grupo de amigos con mucho cariño.,We are a group of friends with a lot of love.,,,
somos,no direct translation,Somos un equipo fuerte y comprometido.,We are a strong and committed team.,,,
somos,no direct translation,Nosotros somos una familia unida.,We are a united family.,,,
somos,no direct translation,Somos una familia unida y feliz.,We are a united and happy family.,,,
somos,no direct translation,Somos una familia y compartimos muchos momentos juntos.,We are a family and we share many moments together.,,,
somos,no direct translation,Somos una familia unida por el amor.,We are a family united by love.,,,
somos,no direct translation,Somos una familia unida y comprometida.,We are a united and committed family.,,,
somos,no direct translation,Somos un equipo que trabaja con mucho empeño para lograr nuestros objetivos.,We are a team that works hard to achieve our goals.,,,
ser,no direct translation,"Ser o no ser, esa es la pregunta.","To be or not to be, that is the question.",,,
ser,no direct translation,El ser humano es increíblemente capaz de adaptarse a cualquier circunstancia.,The human being is incredibly capable of adapting to any circumstance.,,,
ser,no direct translation,Ser es el verbo fundamental para expresar identidad.,To be is the fundamental verb for expressing identity.,,,
ser,no direct translation,Ser un buen amigo es algo que aprecio mucho.,Being a good friend is something I really appreciate.,,,
ser,no direct translation,El ser humano es un ser racional.,Human being is a rational being.,,,
ser,no direct translation,Ser paciente es una virtud importante.,Being patient is an important virtue.,,,
ser,no direct translation,Ser feliz es un estado emocional deseado.,Being happy is a desired emotional state.,,,
ser,no direct translation,El ser vivo es un organismo que tiene vida.,Living being is an organism that has life.,,,
ser,no direct translation,Ser honesto es importante para mantener relaciones saludables.,Being honest is important for maintaining healthy relationships.,,,
ser,no direct translation,Ser perseverante es crucial para alcanzar metas a largo plazo.,Being persevering is crucial for achieving long-term goals.,,,
ser,no direct translation,"El ser humano es un ser social, necesitamos interactuar con otros.","Human being is a social being, we need to interact with others.",,,
ser,no direct translation,Soy un ser humano con sentimientos y emociones.,I am a human being with feelings and emotions.,,,
sois,no direct translation,Tú y tus amigos sois un equipo unido.,You and your friends are a united team.,,,
sois,no direct translation,Vosotros sois los únicos que pueden solucionar este problema.,You are the only ones who can solve this problem.,,,
sois,no direct translation,Vosotros sois los mejores.,You all are the best.,,,
sois,no direct translation,Vosotros sois los mejores amigos que pude tener.,You are the best friends I could have.,,,
sois,no direct translation,Vosotros sois los mejores amigos que he tenido.,You are the best friends I have ever had.,,,
sois,no direct translation,Sois la mejor pareja que he conocido.,You are the best partner I have ever known.,,,
sois,no direct translation,Vosotros sois los mejores amigos que he tenido.,You are the best friends I have ever had.,,,
sois,no direct translation,Vosotros sois el futuro de nuestro país.,You are the future of our country.,,,
sois,no direct translation,Vosotros sois los mejores amigos que he tenido.,You are the best friends I have ever had.,,,
sois,no direct translation,Vosotros sois lo mejor que me ha pasado.,You are the best thing that has ever happened to me.,,,
sois,no direct translation,Sois los mejores hermanos del mundo.,You are the best brothers in the world.,,,
sois,no direct translation,Vosotros sois la respuesta a mis oraciones.,You are the answer to my prayers.,,,
palabra,word,frase,sentence,palabra_alterna,,
los árboles,trees,Los árboles en el bosque son muy altos y frondosos.,The trees in the forest are very tall and leafy.,,,
el río,river,El río corre rápido por las rocas y forma cascadas hermosas.,The river runs fast over the rocks and forms beautiful waterfalls.,,,
el sendero,trail,El sendero del parque nacional es muy largo y lleno de curvas.,The trail in the national park is very long and full of curves.,,,
la montaña,mountain,La vista desde la cima de la montaña es impresionante.,The view from the top of the mountain is impressive.,,,
el lago,lake,El lago en el valle es tranquilo y tiene agua cristalina.,The lake in the valley is calm and has crystal clear water.,,,
la costa,coast,La costa tiene hermosas playas y acantilados.,The coast has beautiful beaches and cliffs.,,,
los pájaros,birds,Los pájaros cantan en los árboles al amanecer.,The birds sing in the trees at dawn.,,,
el sol,sun,El sol se pone detrás de las montañas al atardecer.,The sun sets behind the mountains at sunset.,,,
la nieve,snow,La nieve cubre las montañas en invierno.,Snow covers the mountains in winter.,,,
el viento,wind,El viento sopla fuerte en la cima de la colina.,The wind blows strong on top of the hill.,,,
los bosques,forests,Los bosques tropicales tienen una gran variedad de plantas y animales.,Tropical forests have a great variety of plants and animals.,,,
las cuevas,caves,Las cuevas son un lugar interesante para explorar la naturaleza.,Caves are an interesting place to explore nature.,,,
los desiertos,deserts,Los desiertos tienen un paisaje árido y cálido durante el día.,Deserts have an arid and warm landscape during the day.,,,
el arcoíris,rainbow,El arcoíris se forma después de una tormenta en el cielo.,The rainbow forms after a storm in the sky.,,,
el cañón,canyon,El cañón es un lugar impresionante para hacer senderismo.,The canyon is an impressive place to go hiking.,,,
la selva,jungle,La selva tropical es un lugar exuberante y húmedo.,The rainforest is a lush and humid place.,,,
la cordillera,mountain range,La cordillera tiene picos nevados durante todo el año.,The mountain range has snowy peaks all year round.,,,
los animales,animals,"Los animales del bosque incluyen osos, ciervos y zorros.","The animals of the forest include bears, deer, and foxes.",,,
la playa,beach,La playa tiene olas fuertes para surfear.,The beach has strong waves for surfing.,,,
el prado,meadow,El prado es un lugar hermoso para hacer un picnic.,The meadow is a beautiful place for a picnic.,,,
el glaciar,glacier,El glaciar se mueve lentamente por la montaña.,The glacier moves slowly down the mountain.,,,
la catarata,waterfall,La catarata es una caída de agua impresionante.,The waterfall is an impressive water drop.,,,
un ecosistema,ecosystem,El bosque es un ecosistema importante para el planeta.,The forest is an important ecosystem for the planet.,,,
la cima,peak,La cima de la montaña es difícil de alcanzar pero vale la pena.,The top of the mountain is difficult to reach but worth it.,,,
el agua,water,El agua del río es fría y clara.,The water in the river is cold and clear.,,,
las aves,birds,Las aves migratorias vuelan sobre las montañas en otoño.,Migratory birds fly over the mountains in autumn.,,,
el valle,valley,El valle tiene un clima más fresco que la costa.,The valley has a cooler climate than the coast.,,,
la niebla,fog,La niebla cubre el bosque en las mañanas.,Fog covers the forest in the mornings.,,,
muchos peces,fish,El río tiene muchos peces que se pueden pescar.,The river has many fish that can be caught.,,,
el paisaje,landscape,El paisaje del desierto es diferente de cualquier otro lugar.,The desert landscape is different from any other place.,,,
las lluvias,rains,Las lluvias torrenciales pueden causar inundaciones en los ríos.,Torrential rains can cause flooding in the rivers.,,,
las praderas,prairies,Las praderas tienen una gran variedad de flores y hierba.,Prairies have a great variety of flowers and grass.,,,
estación,season,El paisaje de la montaña cambia con cada estación.,The mountain landscape changes with every season.,,,
las rocas,rocks,Las rocas en la playa son un lugar interesante para buscar conchas.,The rocks on the beach are an interesting place to search for shells.,,,
el bosque,forest,El bosque está lleno de sonidos de la naturaleza.,The forest is full of sounds of nature.,,,
la cascada,waterfall,La cascada forma una piscina natural en la base.,The waterfall forms a natural pool at the base.,,,
las hojas,leaves,Las hojas de los árboles cambian de color en otoño.,The leaves of the trees change color in autumn.,,,
los arrecifes,coral reefs,Los arrecifes de coral son un lugar increíble para bucear.,Coral reefs are an incredible place to scuba dive.,,,
el campo,countryside,El campo es un lugar tranquilo para escapar de la ciudad.,The countryside is a quiet place to escape the city.,,,
la erosión,erosion,El cañón se formó hace millones de años por la erosión del agua.,The canyon was formed millions of years ago by water erosion.,,,
palabra,word,frase,sentence,palabra_alterna,,
me,I,Me gusta mucho la comida mexicana.,I really like Mexican food.,,,
me,I,Me siento cansado después de trabajar todo el día.,I feel tired after working all day.,,,
me,me,"¿Me puedes prestar un bolígrafo, por favor?","Can you lend me a pen, please?",,,
me,I,Me voy a duchar antes de ir a dormir.,I'm going to take a shower before going to bed.,,,
me,I,"Me duele la cabeza, creo que necesito tomar un analgésico.","I have a headache, I think I need to take a painkiller.",,,
te,you,¿Te gustaría ir al cine esta noche?,Would you like to go to the cinema tonight?,,,
te,you,Te dije que no comieras tantos dulces antes de dormir.,I told you not to eat so many sweets before sleeping.,,,
te,you,¿Me puedes dar tu opinión sobre este tema? Te escucharé con atención.,Can you give me your opinion on this topic? I will listen to you carefully.,,,
te,you,Te estás peinando el cabello muy bien.,You are combing your hair very well.,,,
te,you,¿Te acuerdas de aquel viaje que hicimos juntos el verano pasado?,Do you remember that trip we took together last summer?,,,
se,no direct translation,Se acerca la fecha límite del proyecto.,The project deadline is approaching.,,,
se,no direct translation,Se dice que el nuevo restaurante es muy bueno.,They say the new restaurant is very good.,,,
se,no direct translation,No se puede entrar en la casa sin llave.,You can't enter the house without a key.,,,
se,no direct translation,Se fueron de viaje sin avisar.,They went on a trip without notice.,,,
se,no direct translation,¿Se te ofrece algo más?,Is there anything else you need?,,,
le,no direct translation,Le dije la verdad.,I told him/her the truth.,,,
le,no direct translation,El médico le recetó unas pastillas.,The doctor prescribed some pills to him/her.,,,
le,no direct translation,Le compré un regalo a mi mamá.,I bought a gift for my mom.,,,
le,no direct translation,Le presté mi coche a mi hermano.,I lent my car to my brother.,,,
le,no direct translation,¿Le gustaría tomar un café?,Would you like to have a coffee?,,,
lo,no direct translation,Lo siento mucho.,I'm very sorry.,,,
lo,no direct translation,¿Lo necesitas para hoy?,Do you need it for today?,,,
lo,no direct translation,Lo hice lo mejor que pude.,I did it as best I could.,,,
lo,no direct translation,¿Lo viste en la televisión?,Did you see it on TV?,,,
lo,no direct translation,Lo encontré en la calle.,I found it on the street.,,,
nos,we,Nos encanta ir al cine juntos.,We love going to the movies together.,,,
nos,us,¿Nos prestas tu coche para el fin de semana?,Can you lend us your car for the weekend?,,,
nos,we,Siempre nos divertimos en la fiesta de María.,We always have fun at Maria's party.,,,
nos,we,Queremos que nos ayudes a preparar la cena.,We want you to help us prepare dinner.,,,
nos,we,Nos preocupa que no llegues a tiempo.,We are worried that you won't arrive on time.,,,
os,you,Os esperamos en el parque a las cuatro.,We'll meet you at the park at four.,,,
os,you,¿Os gustaría probar un trozo de pastel?,Would you like to try a piece of cake?,,,
os,you,"No os preocupéis, todo estará bien.","Don't worry, everything will be fine.",,,
os,you,¿Podéis traerme los papeles que os di ayer?,Can you bring me the papers I gave you yesterday?,,,
os,you,Os habéis portado muy bien durante el viaje.,You behaved very well during the trip.,,,
palabra,word,frase,sentence,palabra_alterna,,
los árboles,trees,Los árboles en el bosque son muy altos y frondosos.,The trees in the forest are very tall and leafy.,,,
el río,river,El río corre rápido por las rocas y forma cascadas hermosas.,The river runs fast over the rocks and forms beautiful waterfalls.,,,
el sendero,trail,El sendero del parque nacional es muy largo y lleno de curvas.,The trail in the national park is very long and full of curves.,,,
la montaña,mountain,La vista desde la cima de la montaña es impresionante.,The view from the top of the mountain is impressive.,,,
el lago,lake,El lago en el valle es tranquilo y tiene agua cristalina.,The lake in the valley is calm and has crystal clear water.,,,
la costa,coast,La costa tiene hermosas playas y acantilados.,The coast has beautiful beaches and cliffs.,,,
los pájaros,birds,Los pájaros cantan en los árboles al amanecer.,The birds sing in the trees at dawn.,,,
el sol,sun,El sol se pone detrás de las montañas al atardecer.,The sun sets behind the mountains at sunset.,,,
la nieve,snow,La nieve cubre las montañas en invierno.,Snow covers the mountains in winter.,,,
el viento,wind,El viento sopla fuerte en la cima de la colina.,The wind blows strong on top of the hill.,,,
los bosques,forests,Los bosques tropicales tienen una gran variedad de plantas y animales.,Tropical forests have a great variety of plants and animals.,,,
las cuevas,caves,Las cuevas son un lugar interesante para explorar la naturaleza.,Caves are an interesting place to explore nature.,,,
los desiertos,deserts,Los desiertos tienen un paisaje árido y cálido durante el día.,Deserts have an arid and warm landscape during the day.,,,
el arcoíris,rainbow,El arcoíris se forma después de una tormenta en el cielo.,The rainbow forms after a storm in the sky.,,,
el cañón,canyon,El cañón es un lugar impresionante para hacer senderismo.,The canyon is an impressive place to go hiking.,,,
la selva,jungle,La selva tropical es un lugar exuberante y húmedo.,The rainforest is a lush and humid place.,,,
la cordillera,mountain range,La cordillera tiene picos nevados durante todo el año.,The mountain range has snowy peaks all year round.,,,
los animales,animals,"Los animales del bosque incluyen osos, ciervos y zorros.","The animals of the forest include bears, deer, and foxes.",,,
la playa,beach,La playa tiene olas fuertes para surfear.,The beach has strong waves for surfing.,,,
el prado,meadow,El prado es un lugar hermoso para hacer un picnic.,The meadow is a beautiful place for a picnic.,,,
el glaciar,glacier,El glaciar se mueve lentamente por la montaña.,The glacier moves slowly down the mountain.,,,
la catarata,waterfall,La catarata es una caída de agua impresionante.,The waterfall is an impressive water drop.,,,
un ecosistema,ecosystem,El bosque es un ecosistema importante para el planeta.,The forest is an important ecosystem for the planet.,,,
la cima,peak,La cima de la montaña es difícil de alcanzar pero vale la pena.,The top of the mountain is difficult to reach but worth it.,,,
el agua,water,El agua del río es fría y clara.,The water in the river is cold and clear.,,,
las aves,birds,Las aves migratorias vuelan sobre las montañas en otoño.,Migratory birds fly over the mountains in autumn.,,,
el valle,valley,El valle tiene un clima más fresco que la costa.,The valley has a cooler climate than the coast.,,,
la niebla,fog,La niebla cubre el bosque en las mañanas.,Fog covers the forest in the mornings.,,,
muchos peces,fish,El río tiene muchos peces que se pueden pescar.,The river has many fish that can be caught.,,,
el paisaje,landscape,El paisaje del desierto es diferente de cualquier otro lugar.,The desert landscape is different from any other place.,,,
las lluvias,rains,Las lluvias torrenciales pueden causar inundaciones en los ríos.,Torrential rains can cause flooding in the rivers.,,,
las praderas,prairies,Las praderas tienen una gran variedad de flores y hierba.,Prairies have a great variety of flowers and grass.,,,
estación,season,El paisaje de la montaña cambia con cada estación.,The mountain landscape changes with every season.,,,
las rocas,rocks,Las rocas en la playa son un lugar interesante para buscar conchas.,The rocks on the beach are an interesting place to search for shells.,,,
el bosque,forest,El bosque está lleno de sonidos de la naturaleza.,The forest is full of sounds of nature.,,,
la cascada,waterfall,La cascada forma una piscina natural en la base.,The waterfall forms a natural pool at the base.,,,
las hojas,leaves,Las hojas de los árboles cambian de color en otoño.,The leaves of the trees change color in autumn.,,,
los arrecifes,coral reefs,Los arrecifes de coral son un lugar increíble para bucear.,Coral reefs are an incredible place to scuba dive.,,,
el campo,countryside,El campo es un lugar tranquilo para escapar de la ciudad.,The countryside is a quiet place to escape the city.,,,
la erosión,erosion,El cañón se formó hace millones de años por la erosión del agua.,The canyon was formed millions of years ago by water erosion.,,,
me,I,Me gusta mucho la comida mexicana.,I really like Mexican food.,,,
me,I,Me siento cansado después de trabajar todo el día.,I feel tired after working all day.,,,
me,me,"¿Me puedes prestar un bolígrafo, por favor?","Can you lend me a pen, please?",,,
me,I,Me voy a duchar antes de ir a dormir.,I'm going to take a shower before going to bed.,,,
me,I,"Me duele la cabeza, creo que necesito tomar un analgésico.","I have a headache, I think I need to take a painkiller.",,,
te,you,¿Te gustaría ir al cine esta noche?,Would you like to go to the cinema tonight?,,,
te,you,Te dije que no comieras tantos dulces antes de dormir.,I told you not to eat so many sweets before sleeping.,,,
te,you,¿Me puedes dar tu opinión sobre este tema? Te escucharé con atención.,Can you give me your opinion on this topic? I will listen to you carefully.,,,
te,you,Te estás peinando el cabello muy bien.,You are combing your hair very well.,,,
te,you,¿Te acuerdas de aquel viaje que hicimos juntos el verano pasado?,Do you remember that trip we took together last summer?,,,
se,no direct translation,Se acerca la fecha límite del proyecto.,The project deadline is approaching.,,,
se,no direct translation,Se dice que el nuevo restaurante es muy bueno.,They say the new restaurant is very good.,,,
se,no direct translation,No se puede entrar en la casa sin llave.,You can't enter the house without a key.,,,
se,no direct translation,Se fueron de viaje sin avisar.,They went on a trip without notice.,,,
se,no direct translation,¿Se te ofrece algo más?,Is there anything else you need?,,,
le,no direct translation,Le dije la verdad.,I told him/her the truth.,,,
le,no direct translation,El médico le recetó unas pastillas.,The doctor prescribed some pills to him/her.,,,
le,no direct translation,Le compré un regalo a mi mamá.,I bought a gift for my mom.,,,
le,no direct translation,Le presté mi coche a mi hermano.,I lent my car to my brother.,,,
le,no direct translation,¿Le gustaría tomar un café?,Would you like to have a coffee?,,,
lo,no direct translation,Lo siento mucho.,I'm very sorry.,,,
lo,no direct translation,¿Lo necesitas para hoy?,Do you need it for today?,,,
lo,no direct translation,Lo hice lo mejor que pude.,I did it as best I could.,,,
lo,no direct translation,¿Lo viste en la televisión?,Did you see it on TV?,,,
lo,no direct translation,Lo encontré en la calle.,I found it on the street.,,,
nos,we,Nos encanta ir al cine juntos.,We love going to the movies together.,,,
nos,us,¿Nos prestas tu coche para el fin de semana?,Can you lend us your car for the weekend?,,,
nos,we,Siempre nos divertimos en la fiesta de María.,We always have fun at Maria's party.,,,
nos,we,Queremos que nos ayudes a preparar la cena.,We want you to help us prepare dinner.,,,
nos,we,Nos preocupa que no llegues a tiempo.,We are worried that you won't arrive on time.,,,
os,you,Os esperamos en el parque a las cuatro.,We'll meet you at the park at four.,,,
os,you,¿Os gustaría probar un trozo de pastel?,Would you like to try a piece of cake?,,,
os,you,"No os preocupéis, todo estará bien.","Don't worry, everything will be fine.",,,
os,you,¿Podéis traerme los papeles que os di ayer?,Can you bring me the papers I gave you yesterday?,,,
os,you,Os habéis portado muy bien durante el viaje.,You behaved very well during the trip.,,,
lo,the,Lo difícil es que no entiendo la explicación del profesor.,The difficult thing is that I don't understand the teacher's explanation.,
lo,what,"Lo de ayer fue muy divertido, ¿vamos a hacerlo de nuevo?","What happened yesterday was very fun, should we do it again?",
lo,what,Lo que digo es que deberíamos intentar algo diferente esta vez.,What I'm saying is that we should try something different this time.,
lo,it,Lo tengo. ¿Me puedes decir qué es lo que necesitas que haga?,I have it. Can you tell me what you need me to do?,
lo,no direct translation,"Lo siento, no puedo hacerlo.","I'm sorry, I can't do it.",
lo,no direct translation,Lo importante es que estés seguro de lo que quieres.,The important thing is that you're sure of what you want.,
lo,no direct translation,Lo necesito para mañana por la mañana.,I need it for tomorrow morning.,
lo,no direct translation,Lo primero que debes hacer es leer las instrucciones.,The first thing you should do is read the instructions.,
lo,no direct translation,Lo hizo porque quería ayudar.,He did it because he wanted to help.,
lo,no direct translation,Lo que dijo fue muy ofensivo.,What he said was very offensive.,
lo,no direct translation,Me siento muy mal por lo que dije.,I feel very bad about what I said.,
lo,no direct translation,Me encanta lo que has hecho con esta habitación.,I love what you've done with this room.,
lo,no direct translation,No entiendo lo que está pasando.,I don't understand what's happening.,
lo,no direct translation,No puedo creer lo que estoy viendo.,I can't believe what I'm seeing.,
lo,no direct translation,No tengo miedo de lo que pueda pasar.,I'm not afraid of what might happen.,
lo,no direct translation,Todavía estoy en shock de lo que pasó ayer.,I am still in shock about what happened yesterday.,
lo,no direct translation,No estoy seguro de lo que quieres que haga.,I am not sure what you want me to do.,
lo,no direct translation,"Es lo que pienso, aunque no estoy seguro de si estoy en lo correcto.","It is what I think, although I am not sure if I am right.",
lo,no direct translation,"Es lo que siempre hago cuando tengo un problema, buscar la solución en internet.","It is what I always do when I have a problem, look for a solution on the internet.",
lo,no direct translation,"Es lo que dijo el profesor, aunque a mí me parece un poco dudoso.","It is what the teacher said, although it seems a little dubious to me.",
lo,no direct translation,"Es lo que me gustaría hacer, pero no tengo el dinero suficiente en este momento.","It is what I would like to do, but I don't have enough money at this time.",
lo,no direct translation,"Por lo que entiendo, la situación es muy complicada.","From what I understand, the situation is very complicated.",
lo,no direct translation,"Por lo que he oído, el restaurante es muy popular entre los turistas.","From what I've heard, the restaurant is very popular among tourists.",
lo,no direct translation,"Por lo que veo, necesitas ayuda con eso.","From what I see, you need help with that.",
lo,no direct translation,"Por lo que me dijeron, la reunión es a las 3 de la tarde.","From what I was told, the meeting is at 3pm.",
lo,no direct translation,"A lo largo de la semana, he estado trabajando en mi proyecto de investigación para el trabajo.","Throughout the week, I have been working on my research project for work.",
lo,no direct translation,"A lo largo de la costa, hay muchas playas hermosas donde puedes relajarte y disfrutar del sol.","Along the coast, there are many beautiful beaches where you can relax and enjoy the sun.",
lo,no direct translation,Todo lo que necesitas hacer es seguir las instrucciones del libro para hacer el pastel.,All you need to do is follow the instructions in the book to make the cake.,
lo,no direct translation,Todo lo que ella quiere es que la apoyes y la hagas sentir especial.,All she wants is for you to support her and make her feel special.,
lo,no direct translation,"Lo largo de mi carrera, he trabajado en varios proyectos interesantes.","Throughout my career, I have worked on several interesting projects.",
lo,no direct translation,"Lo largo de la historia de la humanidad, ha habido muchas guerras y conflictos.","Throughout the history of humankind, there have been many wars and conflicts.",
lo,no direct translation,"Por lo menos, podemos decir que intentamos hacer todo lo posible para resolver el problema.","At least, we can say that we tried to do everything possible to solve the problem.",
lo,no direct translation,"Por lo menos, tenemos suficiente comida para durar una semana más.","At least, we have enough food to last for one more week.",
lo,no direct translation,"En lo que respecta a mi trabajo, me esfuerzo al máximo para hacerlo lo mejor posible.","As far as my work is concerned, I strive to do it to the best of my ability.",
lo,no direct translation,Lo que se dice en la noticia es muy preocupante.,What is said in the news is very concerning.,
lo,no direct translation,Lo que se espera de ti en este trabajo es que seas puntual y trabajes duro.,What is expected of you in this job is that you be punctual and work hard.,
lo,no direct translation,"Con lo que he aprendido en este curso, creo que estoy listo para aplicarlo en mi trabajo.","With what I have learned in this course, I believe I am ready to apply it in my job.",
lo,no direct translation,A lo que voy con esto es que necesitamos un plan de acción más detallado.,What I'm getting at is that we need a more detailed action plan.,
lo,no direct translation,A lo que me refiero es que tenemos que considerar todas las opciones antes de tomar una decisión.,What I mean is that we have to consider all options before making a decision.,
lo,no direct translation,A lo mejor deberíamos esperar a ver cómo se desarrolla la situación antes de tomar una decisión.,Maybe we should wait and see how the situation develops before making a decision.,
lo,no direct translation,"A lo mejor deberías pedirle a alguien más que te ayude con eso, parece demasiado complicado para ti solo.","Maybe you should ask someone else to help you with that, it seems too complicated for you alone.",
lo,no direct translation,"No hemos dormido bien en varias noches, por lo tanto estamos muy cansados.","We haven't slept well for several nights, therefore we are very tired.",
lo,no direct translation,"El edificio está muy viejo y necesita reparaciones urgentes, por lo tanto no es seguro vivir allí.","The building is very old and urgently needs repairs, therefore it is not safe to live there.",
como,as,Como te digo necesitamos hacer algo al respecto.,As I'm telling you we need to do something about it.,
como,the way,Todo salió como tú querías.,Everything worked out the way you wanted.,
como,however,Te prepararé el bistec como tú prefieras.,I will make your steak however you like it.,
como,around,Te estuve esperando como una hora.,I waited for you for around an hour.,
como,about,La gasolinera está como a tres kilómetros de aquí.,The gas station is about three kilometers away.,
como,like,Ella es alta como su madre.,She is tall like her mother.,
como,like,Quiero ser como tú eres.,I want to be like you.,
como,if,Como llegues tarde al examen no se te dará más tiempo.,If you arrive late for the exam you will not be given extra time.,
como,like,Vive como un rey.,He lives like a king.,
como,since,Como estás tan ocupado no puedes ayudarme.,Since you're so busy you can't help me.,
como,like,Me gusta como te ves con ese vestido.,I like how you look in that dress.,
como,like,No me gusta como se comporta ella a veces.,I don't like how she behaves sometimes.,
como,how,No tengo ni idea de como lo hizo.,I have no idea how he did it.,
como,how,¿Tienes alguna idea de como llegar allí?,Do you have any idea how to get there?,
como,about,Me quedan como mil pesos.,I have got about a thousand pesos left.,
como,like,"Mi abuelo siempre nos cuenta historias de su juventud, como en el tiempo en el que trabajó como mecánico en un taller.","My grandfather always tells us stories from his youth, like the time he worked as a mechanic in a workshop.",
como,like,"A veces sueño con tener una vida lujosa, como en el caso de una persona rica y famosa.","Sometimes I dream of having a luxurious life, like in the case of a rich and famous person.",
como,like,"Me gusta el invierno porque puedo usar ropa abrigada, así como la chaqueta y los guantes que compré en esa tienda.","I like winter because I can wear warm clothes, like the jacket and gloves I bought at that store.",
como,like,"La naturaleza es muy hermosa, así como la vista del atardecer desde lo alto de esa montaña.","Nature is very beautiful, like the view of the sunset from the top of that mountain.",
como,like,Estoy tan cansado que me siento como si fuera a dormirme de pie.,I am so tired that I feel like I am going to fall asleep standing up.,
como,as,"Me encanta el olor de las rosas, como si fuera el aroma más dulce del mundo.","I love the smell of roses, as if it were the sweetest aroma in the world.",
