palabra,word,frase,sentence,palabra_alterna
año,year,"Todos los años, mi familia va al parque de atracciones.","Every year, my family goes to the amusement park.",
año,year,"El año que viene, tengo previsto comprar una casa.","Next year, I plan to buy a house.",
año,year,"Es el año de la mujer, y estamos celebrando su logro y su poder.","It is the year of the woman, and we are celebrating her achievement and power.",
año,year,"En los últimos años, la tecnología ha avanzado mucho.","In recent years, technology has advanced greatly.",
año,year,"En este año, quiero centrarse en mejorar mi salud.","This year, I want to focus on improving my health.",
año,year,El año pasado nos mudamos a Madrid.,Last year we moved to Madrid.,
hasta,until,Me quedo hasta mañana.,I am staying until tomorrow.,
hasta,even,Una persona es respetada hasta por pequeños actos de nobleza.,A person is respected even for small acts of nobility.,
hasta,no direct translation,"Hasta ahora, todo va bien.","So far, everything is going well.",
hasta,no direct translation,"Espero verte pronto, hasta entonces cuídate.","I hope to see you soon, take care until then.",
hasta,no direct translation,Me quedo hasta tarde en la oficina.,I stay late at the office.,
hasta,no direct translation,Hasta la próxima vez que nos veamos.,Until next time we see each other.,
hasta,no direct translation,El tren sale hasta la medianoche.,The train leaves until midnight.,
hasta,no direct translation,Trabajaré hasta que terminemos el proyecto.,I will work until we finish the project.,
hasta,no direct translation,"Hasta mañana, tengo que irme ahora.","Until tomorrow, I have to leave now.",
hasta,no direct translation,Estaré aquí hasta que me llames.,I will be here until you call me.,
hasta,no direct translation,Puedes llamarme hasta tarde esta noche.,You can call me late tonight.,
hasta,no direct translation,No puedo esperar hasta el fin de semana.,I can't wait until the weekend.,
hasta,no direct translation,Quiero ir hasta el mar este verano.,I want to go to the sea this summer.,
hasta,no direct translation,No puedo hacer eso hasta que tenga más información.,I can't do that until I have more information.,
desde,from,La Segunda República en España duró desde 1931 a 1939.,The Second Republic in Spain lasted from 1931 to 1939.,
desde,since,"Desde mi infancia, siempre he querido ser médico.","Since my childhood, I have always wanted to be a doctor.",
desde,no direct translation,El autobús parte desde la estación a las 8 de la mañana.,The bus leaves from the station at 8 in the morning.,
desde,no direct translation,Ella ha estado viviendo en España desde hace dos años.,She has been living in Spain for two years.,
desde,no direct translation,Estoy esperando mi paquete desde la semana pasada.,I have been waiting for my package since last week.,
desde,no direct translation,He estado trabajando en esta compañía desde hace 5 años.,I have been working at this company for 5 years.,
desde,no direct translation,Él ha estado practicando piano desde que tenía 5 años.,He has been playing piano since he was 5 years old.,
desde,no direct translation,"Desde que comencé a hacer ejercicio, me siento mucho mejor.","Since I started exercising, I feel much better.",
desde,no direct translation,Ellos han estado juntos desde el colegio.,They have been together since high school.,
desde,no direct translation,"Desde que adquirí un smartphone, siempre estoy conectado.","Since I got a smartphone, I am always connected.",
desde,no direct translation,El vuelo sale desde el aeropuerto a las 10 PM.,The flight departs from the airport at 10 PM.,
desde,no direct translation,"Desde que me mudé a esta ciudad, he conocido a muchas personas interesantes.","Since I moved to this city, I have met many interesting people.",
desde,no direct translation,Ella ha estado interesada en la astronomía desde que era niña.,She has been interested in astronomy since she was a child.,
está,he is,Él no vino a clases porque está enfermo.,He did not come to school because he is sick.,
está,is,La Puerta de Brandenburgo está en Berlín.,The Brandenburg Gate is in Berlin.,
está,she is,Conozco a esa mujer. Está casada con un amigo.,I know that woman. She is married to a friend of mine.,
está,is,¿Donde está el baño?,Where is the bathroom?,
está,is,Está lloviendo afuera.,It is raining outside.,
está,is,¿Dónde está mi libro?,Where is my book?,
está,is,Está caliente hoy.,It is hot today.,
está,is,La tienda está cerrada.,The store is closed.,
está,is,Él está cansado después del trabajo.,He is tired after work.,
está,is,La comida está lista.,The food is ready.,
está,is,El avión está retrasado.,The plane is delayed.,
está,is,Ella está muy feliz.,She is very happy.,
está,is,El juego está por comenzar.,The game is about to start.,
está,is,La respuesta está incorrecta.,The answer is incorrect.,
está,is,La casa está en la esquina.,The house is on the corner.,
está,is,No está permitido fumar aquí.,Smoking is not allowed here.,
mi,my,Mi perro es muy juguetón.,My dog is very playful.,
mi,my,¿Podrías pasarme mi libro?,Could you pass me my book?,
mi,my,Mi casa está en el campo.,My house is in the countryside.,
mi,my,Me encanta mi trabajo.,I love my job.,
mi,my,Mi mamá es cocinera.,My mom is a cook.,
mi,my,Este es mi auto nuevo.,This is my new car.,
mi,my,La comida en mi restaurante favorito es deliciosa.,The food at my favorite restaurant is delicious.,
mi,my,Mi padre es médico.,My father is a doctor.,
mi,my,Mi hermano estudia ingeniería.,My brother studies engineering.,
mi,no direct translation,A mi me gusta viajar.,I like traveling.,
mi,my,Mi hobby es tocar la guitarra.,My hobby is playing the guitar.,
mi,my,Mi cumpleaños es en julio.,My birthday is in July.,
porque,because,Mi hermano está triste porque no ganó el concurso.,My brother is upset because he did not win the contest.,
porque,that,Reza porque tu mamá no se entere.,Pray that your mother does not find out.,
porque,because,"Porque es un día soleado, decidimos ir al parque.","Because it's a sunny day, we decided to go to the park.",
porque,because,No puedo salir temprano hoy porque tengo una reunión.,I can't leave early today because I have a meeting.,
porque,because,Me gusta leer libros de misterio porque me mantienen en tensión.,I like reading mystery books because they keep me on edge.,
porque,because,Ella no quiere ir al dentista porque tiene miedo.,She doesn't want to go to the dentist because she's scared.,
porque,because,No compré ese coche porque era demasiado caro.,I didn't buy that car because it was too expensive.,
porque,because,No pude terminar mi tarea ayer porque se me fue la luz.,I couldn't finish my homework yesterday because the power went out.,
porque,because,Me gusta bailar porque me hace sentir libre.,I like dancing because it makes me feel free.,
porque,because,No pude conseguir una cita con el médico porque está lleno.,I couldn't get an appointment with the doctor because it's fully booked.,
porque,because,No le gusta viajar en avión porque le da miedo.,He doesn't like flying because he's afraid.,
porque,because,Me gusta ir al gimnasio porque me hace sentir energético.,I like going to the gym because it makes me feel energetic.,
qué,what,¿Qué quieres comer hoy?,What do you want to eat today?,
qué,what,No sé qué decir.,I don't know what to say.,
qué,what,¿Qué te parece si vamos al parque?,What do you think about going to the park?,
qué,what,No entiendo qué está pasando.,I don't understand what's happening.,
qué,what,¿Qué tiempo va a hacer mañana?,What is the weather going to be like tomorrow?,
qué,what,Me preocupa qué va a pasar.,I'm worried about what will happen.,
qué,what,¿Qué tal si lo hacemos de esta manera?,What if we do it this way?,
qué,what,No sé a qué se refiere.,I don't know what he/she is referring to.,
qué,what,¿Qué planes tienes para el fin de semana?,What are your plans for the weekend?,
qué,what,¿De qué estás hablando?,What are you talking about?,
qué,what,No tengo idea de qué hacer.,I have no idea what to do.,
qué,what,Me preocupa qué pensarán los demás.,I'm worried about what others will think.,
qué,which,¿Qué color prefieres?,Which color do you prefer?,
qué,how,¿Puedes creer qué esta serie es genial?,Can you believe how amazing this series is?,
qué,what,¿Qué estás haciendo?,What are you doing?,
solo,only,Solo quiero un café.,I only want a coffee.,
solo,alone,No puedo ir al cine solo.,I can't go to the movies alone.,
solo,only,Él solo toca el piano.,He only plays the piano.,
solo,alone,No puedo hacerlo solo.,I can't do it alone.,
solo,only,"Ella es la única que puede ayudar, solo ella.","She is the only one who can help, only she.",
solo,just,"No tengo nada más que hacer, solo estudiar para el examen.","I have nothing else to do, just study for the exam.",
solo,only,"Es solo una idea, no es necesariamente cierta.","It's just an idea, not necessarily true.",
solo,only,Solo queda una semana para la fecha límite.,Only one week remains until the deadline.,
solo,alone,"No puedo tomar una decisión solo, necesito la ayuda de alguien más.","I can't make a decision alone, I need someone else's help.",
solo,only,Solo he venido aquí para decirte adiós.,I've only come here to say goodbye.,
solo,alone,"No hay nadie en la casa, estoy aquí solo.","No one is in the house, I am here alone.",
solo,only,Solo estamos esperando a que llegue el autobús.,We are only waiting for the bus to arrive.,
han,have,Wiz y Gucci han colaborado varias veces en el pasado.,Wiz and Gucci have collaborated several times in the past.,
han,have been,Michael y su gente han estado trabajando contra mi equipo.,Michael and his people have been working against my team.,
han,have,Y se han convertido en apuestas de elevado valor estratégico para el desarrollo económico.,These have become centres of very high strategic value in the economic development of the region.,
han,have,Al Japón le complacen las contribuciones que se han hecho para apoyar esos esfuerzos.,Japan is pleased with the contributions that have been made to support these efforts.,
han,have,Me han dicho que hay más sombra en mi poesía que luz.,I have been told that there is more shadow than light in my poetry.,
han,has been,Han pasado tres años desde la última vez que nos vimos.,It's been three years since we last saw each other.,
han,have,¿Has notado que han llegado más pájaros al parque este año?,Have you noticed that more birds have arrived at the park this year?,
han,have,Han dicho que va a llover esta tarde.,They have said that it's going to rain this afternoon.,
han,have,Los niños han terminado sus deberes para hoy.,The children have finished their homework for today.,
han,have,Han llegado las flores que pedimos.,The flowers we ordered have arrived.,
han,have,¿Has visto que han reparado la luz del semáforo?,Have you seen that they have fixed the traffic light?,
han,have,Han sido invitados a la fiesta de cumpleaños.,They have been invited to the birthday party.,
han,have,El equipo han ganado todos sus partidos este mes.,The team have won all their games this month.,
han,have,Han anunciado un nuevo proyecto en la empresa.,They have announced a new project at the company.,
han,have,Han cambiado la hora de la reunión para mañana.,They have changed the meeting time for tomorrow.,
yo,I,Yo soy un programa de inteligencia artificial.,I am an artificial intelligence program.,
yo,I,Yo sé muchas cosas sobre varios temas.,I know many things about various subjects.,
yo,I,Yo puedo responder preguntas y ayudarte.,I can answer questions and help you.,
yo,I,Yo soy desarrollado por OpenAI.,I was developed by OpenAI.,
yo,I,Yo aprendí de una gran cantidad de texto en internet.,I learned from a large amount of text on the internet.,
yo,I,Yo estoy disponible para hablar contigo.,I am available to talk to you.,
yo,I,Yo soy capaz de generar texto.,I am capable of generating text.,
yo,I,Yo estoy en constante aprendizaje.,I am continuously learning.,
yo,I,Yo trato de ser lo más útil posible.,I try to be as useful as possible.,
yo,I,Yo estoy aquí para servirte.,I am here to serve you.,
yo,me,Tú y yo estamos en la misma página con esto.,You and me are on the same page with this.,
yo,I,Yo soy su hermana.,I am her sister.,
hay,there are,En el centro hay muchos hoteles disponibles para los turistas.,In the centre there are many hotels available to tourists.,
hay,there is,Detrás de cada buena fiesta hay un gran DJ.,Behind every good party there is a great DJ.,
hay,(there) is,Aquí hay una lista de las fuentes.,Here (there) is a list of the sources.,
hay,(there) are,Aquí hay vuelos directos.,Here (there) are direct flights.,
hay,no direct translation,Para el alquiler de un avión de línea hay que tener en cuenta multitud de variables.,For your commercial jet we need to take into account many parameters.,
hay,no direct translation,Sabemos lo que hay que hacer.,We know what to do.,
hay,there are,Hay una serie de problemas.,There are a number of problems.,
hay,there is,Hay una reunión a las 10 de la mañana.,There is a meeting at 10am.,
hay,there is,Hay algunos libros en la biblioteca.,There are some books in the library.,
hay,there is,Hay un jardín detrás de la casa.,There is a garden behind the house.,
hay,there are,Hay muchos pájaros en el cielo.,There are many birds in the sky.,
hay,there is,Hay una fiesta esta noche.,There is a party tonight.,
hay,there is,Hay una solución para este problema.,There is a solution for this problem.,
hay,there is,Hay una tienda de comestibles cerca.,There is a grocery store nearby.,
hay,there is,Hay un parque cercano donde puedes caminar.,There is a nearby park where you can walk.,
hay,there is,No hay nadie en casa ahora.,There is no one at home now.,
hay,is,¿Qué hay para cenar esta noche?,What's for dinner tonight?,
vez,time,Esa fue la última vez que lo vi.,That was the last time I saw him.,
vez,no direct translation,Tal vez esto es algo que deberíamos hablar con Bob.,Maybe this is something we should talk about with Bob.,quizá
vez,no direct translation,A veces un niño hace una y otra vez.,Sometimes a child will do something over and over.,
vez,time,Yo mismo tocaba de vez en cuando el violín para ellos.,I even played the violin for them from time to time.,
vez,time,La oferta es amplia a la vez que compacta y perfectamente ajustada a sus necesidades.,The offer is extensive and at the same time compact and ideally attuned to your needs.,
vez,time,Esta es la primera vez que visito esta ciudad.,This is the first time I visit this city.,
vez,time,"La vez pasada que lo intenté, fracasé.","The last time I tried, I failed.",
vez,time,Me gustaría tener la oportunidad de hacerlo bien la próxima vez.,I would like to have the chance to do it right the next time.,
vez,time,Esta es la segunda vez que me haces esta pregunta.,This is the second time you ask me this question.,
vez,time,"La primera vez que lo vi, supe que tenía que tenerlo.","The first time I saw it, I knew I had to have it.",
vez,time,"Cada vez que pienso en ello, me hace sentir triste.","Every time I think about it, it makes me feel sad.",
vez,time,La última vez que hablé con él fue hace una semana.,The last time I spoke to him was a week ago.,
vez,time,La primera vez que oí hablar de eso fue hace mucho tiempo.,The first time I heard about it was a long time ago.,
vez,time,"Cada vez que hago esto, me recuerda mi infancia.","Every time I do this, it reminds me of my childhood.",
puede,can,Mi novia puede bailar salsa.,My girlfriend can dance the salsa.,
puede,can,El coeficiente puede tener un valor de 1 a 500.,The coefficient can have a value of 1 to 500.,
puede,may,Esta dosis puede variar si el paciente es un niño.,This dose may vary if the patient is a child.,
puede,can,Pero parece bastante obvio que no se puede hacer nada solos.,But it seems pretty obvious that nothing can be done alone.,
puede,can,No se puede hacer un buen diagnóstico en una sola visita!,You can not make a good diagnosis in one visit! ,
puede,can,Sabemos que se puede hacer.,We know it can be done.,
puede,may,Puede que llueva mañana.,It may rain tomorrow.,
puede,can,Puede que haya un atasco en la carretera.,There may be a traffic jam on the road.,
puede,can,¿Puede ayudarme a encontrar un buen libro para leer?,Can you help me find a good book to read?,
puede,can,Puede que tengas que esperar un poco más.,You may have to wait a little longer.,
todos,all,Han venido todos mis amigos.,All my friends have come.,
todos,every,Todos los lunes voy al club.,Every Monday I go to the club.,
todos,we all,Todos queremos lo mejor para el país.,We all want what is best for our country.,
todos,everyone,Este es uno de esos libros con proyectos para todos.,This is one of those books with projects for everyone.,
todos,all,Super Mario 3 es el juego para consola más vendido por separado de todos los tiempos.,Super Mario 3 remains the best-selling individually-sold console game of all time.,
todos,all,Todos los estudiantes deben presentar su tarea antes del fin de semana.,All the students must submit their homework before the weekend.,
todos,all,No todos los días son iguales.,Not every day is the same.,
todos,all,Ella invitó a todos sus amigos a la fiesta.,She invited all her friends to the party.,
todos,all,Todos los caminos llevan a Roma.,All roads lead to Rome.,
todos,all,No todos piensan lo mismo sobre el tema.,Not everyone thinks the same about the subject.,
todos,all,Todos los juegos de la consola están agotados en estos momentos.,All the games of the console are sold out at the moment.,
todos,all,Es importante que todos participen en la reunión.,It is important that everyone participate in the meeting.,
todos,all,No todos los libros son interesantes.,Not all books are interesting.,
todos,all,Todos los miembros del equipo recibieron una medalla de oro.,All team members received a gold medal.,
todos,all,No todos los animales son domésticos.,Not all animals are domestic.,
